secs,alt,distance,lat,lon
0,115.0,0.0,51.240885,-0.118649
1,114.6,16.5,51.240857,-0.118881
2,114.0,32.9,51.240823,-0.11911
3,113.4,51.2,51.240816,-0.119374
4,112.6,82.5,51.24078,-0.11982
5,112.2,98.4,51.240753,-0.120045
6,111.6,129.0,51.240693,-0.120473
7,111.2,144.7,51.240654,-0.120689
8,111.0,159.8,51.240617,-0.120896
9,110.8,175.0,51.240577,-0.121104
10,110.6,190.0,51.240538,-0.121311
11,110.2,204.7,51.240501,-0.121512
12,109.8,219.7,51.240458,-0.121717
13,109.2,249.7,51.24037,-0.122122
14,108.4,279.2,51.240278,-0.122518
15,108.0,293.4,51.240233,-0.122708
16,107.2,320.4,51.240158,-0.123077
17,106.6,333.7,51.24013,-0.123262
18,106.2,347.3,51.240092,-0.123446
19,105.6,359.9,51.240062,-0.123621
20,105.2,372.2,51.240032,-0.12379
21,105.0,384.0,51.240003,-0.123953
22,104.6,395.5,51.239969,-0.124109
23,104.2,405.7,51.239941,-0.124248
24,104.0,415.5,51.239911,-0.124379
25,103.8,425.1,51.239888,-0.124512
26,103.6,434.5,51.239865,-0.124643
27,103.4,442.4,51.239846,-0.124751
28,103.2,449.9,51.239825,-0.124852
29,103.0,462.4,51.239792,-0.125023
30,102.8,468.1,51.239758,-0.125085
31,102.6,473.7,51.239718,-0.125136
32,102.6,479.9,51.239664,-0.125157
33,102.4,486.5,51.239604,-0.125149
34,102.4,493.8,51.23954,-0.125126
35,102.4,501.0,51.23948,-0.125086
36,102.2,508.9,51.239412,-0.125049
37,102.2,517.1,51.239343,-0.125008
38,102.2,526.2,51.239266,-0.124964
39,102.0,535.7,51.239187,-0.124911
40,101.8,546.4,51.239097,-0.124859
41,101.6,558.7,51.238991,-0.124808
42,101.4,571.7,51.238878,-0.124761
43,101.2,584.5,51.238765,-0.124723
44,101.0,597.5,51.23865,-0.124688
45,100.8,610.7,51.238534,-0.124648
46,100.8,622.9,51.238428,-0.124602
47,100.6,635.2,51.238321,-0.124557
48,100.4,648.6,51.238205,-0.124509
49,100.4,661.8,51.238089,-0.124468
50,100.2,675.2,51.23797,-0.124431
51,100.2,688.5,51.237853,-0.124401
52,100.0,710.1,51.23766,-0.124354
53,100.0,719.2,51.237579,-0.124363
54,100.0,728.9,51.237495,-0.124401
55,100.0,740.1,51.237398,-0.124443
56,99.6,752.7,51.237287,-0.124486
57,99.2,768.0,51.23715,-0.124487
58,98.8,782.9,51.237018,-0.124454
59,98.2,801.3,51.236872,-0.124328
60,97.6,816.3,51.236752,-0.124229
61,97.0,833.0,51.236614,-0.124135
62,96.4,850.9,51.236451,-0.124115
63,95.0,882.7,51.236173,-0.12401
64,94.4,898.4,51.236033,-0.123974
65,93.6,913.3,51.235906,-0.123905
66,92.8,928.6,51.235775,-0.12384
67,92.2,944.9,51.235633,-0.123774
68,91.2,962.8,51.235478,-0.123706
69,90.4,981.0,51.235318,-0.123656
70,89.8,998.0,51.235165,-0.12364
71,88.8,1016.3,51.235002,-0.123603
72,88.2,1034.2,51.234845,-0.123547
73,87.2,1056.0,51.234662,-0.123434
74,86.2,1075.0,51.234499,-0.123351
75,85.2,1090.4,51.234366,-0.123282
76,83.4,1125.0,51.234077,-0.123101
77,82.4,1143.0,51.233928,-0.122998
78,81.6,1162.4,51.233763,-0.122908
79,80.8,1182.2,51.233592,-0.122829
80,80.0,1199.8,51.233445,-0.122734
81,79.4,1215.3,51.233316,-0.122652
82,78.6,1233.4,51.233162,-0.122564
83,77.2,1262.2,51.232906,-0.122535
84,76.0,1292.0,51.232647,-0.122648
85,75.6,1306.8,51.232523,-0.122722
86,75.0,1322.5,51.232389,-0.122796
87,73.8,1355.9,51.232095,-0.122912
88,73.4,1372.4,51.231955,-0.122991
89,73.0,1387.4,51.231829,-0.123064
90,72.6,1402.2,51.231699,-0.123119
91,72.2,1416.5,51.231571,-0.123145
92,71.8,1429.8,51.231452,-0.123134
93,71.6,1443.0,51.231334,-0.12311
94,71.0,1457.2,51.231209,-0.123069
95,70.6,1472.1,51.231082,-0.122997
96,70.0,1486.4,51.230967,-0.122908
97,69.4,1499.7,51.230857,-0.122825
98,68.4,1517.1,51.23076,-0.122627
99,67.8,1532.6,51.230671,-0.122457
100,66.8,1547.2,51.230582,-0.122302
101,65.8,1565.0,51.230493,-0.122091
102,65.2,1582.0,51.230413,-0.121883
103,64.2,1601.9,51.230306,-0.121654
104,63.2,1621.4,51.230199,-0.121432
105,62.2,1641.4,51.230091,-0.121202
106,61.2,1661.2,51.229978,-0.12098
107,60.0,1680.8,51.229863,-0.120769
108,58.8,1700.4,51.229753,-0.120547
109,56.8,1738.2,51.229535,-0.12013
110,55.8,1756.9,51.229421,-0.119933
111,54.8,1775.2,51.229319,-0.119721
112,53.8,1792.8,51.229245,-0.119477
113,53.0,1807.3,51.229166,-0.119312
114,51.8,1821.2,51.229102,-0.119137
115,50.8,1837.3,51.229034,-0.118932
116,49.8,1853.4,51.228967,-0.118721
117,48.8,1870.7,51.228866,-0.118533
118,47.8,1888.2,51.228786,-0.118296
119,47.0,1904.5,51.228685,-0.118124
120,46.2,1919.8,51.22859,-0.117964
121,45.6,1936.0,51.22847,-0.117829
122,45.0,1951.3,51.228352,-0.117716
123,44.4,1966.7,51.228233,-0.117607
124,43.8,1982.7,51.228098,-0.117525
125,43.4,1997.9,51.227965,-0.117476
126,43.0,2015.4,51.227808,-0.117461
127,42.6,2031.9,51.227659,-0.117461
128,42.0,2050.9,51.227492,-0.117507
129,41.6,2065.4,51.227368,-0.117574
130,41.0,2085.6,51.227195,-0.117667
131,40.4,2104.2,51.22703,-0.117706
132,39.2,2145.6,51.22666,-0.117771
133,38.6,2166.7,51.226475,-0.117837
134,38.0,2187.1,51.226295,-0.117895
135,37.4,2206.8,51.226122,-0.117951
136,36.8,2227.3,51.225939,-0.117995
137,36.0,2247.0,51.225764,-0.118031
138,35.4,2263.4,51.225618,-0.118069
139,34.8,2280.1,51.22547,-0.118107
140,34.2,2296.4,51.225327,-0.118158
141,33.6,2314.8,51.225164,-0.118203
142,33.2,2334.2,51.224991,-0.11824
143,32.4,2370.9,51.224666,-0.118329
144,32.2,2387.1,51.224524,-0.118382
145,31.8,2403.9,51.224376,-0.118423
146,31.6,2421.0,51.224222,-0.118452
147,31.6,2437.2,51.224078,-0.118477
148,31.6,2452.8,51.223939,-0.118498
149,31.6,2468.7,51.223796,-0.11852
150,31.8,2468.7,51.223642,-0.118476
151,32.0,2468.7,51.223487,-0.118432
152,32.6,2521.0,51.223333,-0.118388
153,33.0,2532.8,51.223226,-0.118375
154,33.2,2545.1,51.223117,-0.118345
155,33.8,2555.4,51.223026,-0.118314
156,34.2,2565.8,51.222934,-0.118294
157,34.6,2576.4,51.222839,-0.11827
158,35.0,2587.4,51.222744,-0.118229
159,35.6,2597.8,51.222654,-0.118186
160,36.0,2608.4,51.222563,-0.118141
161,36.6,2618.3,51.222478,-0.118092
162,37.0,2628.3,51.22239,-0.118056
163,37.6,2638.1,51.222305,-0.118022
164,38.0,2647.1,51.222226,-0.117993
165,38.6,2656.2,51.222146,-0.117965
166,39.0,2665.3,51.222067,-0.117936
167,39.4,2674.1,51.221988,-0.117918
168,40.0,2681.6,51.221921,-0.11791
169,40.4,2689.8,51.221846,-0.117912
170,41.0,2697.6,51.221775,-0.117916
171,41.6,2714.7,51.221621,-0.117899
172,42.0,2724.1,51.221537,-0.117885
173,42.4,2733.9,51.221451,-0.11786
174,42.6,2744.4,51.221358,-0.117832
175,42.8,2755.2,51.221262,-0.117807
176,43.0,2766.2,51.221163,-0.117793
177,43.2,2777.6,51.221061,-0.117779
178,43.4,2789.6,51.220954,-0.117766
179,43.6,2801.9,51.220844,-0.117751
180,43.6,2813.8,51.220737,-0.117735
181,43.8,2826.3,51.220625,-0.117721
182,44.0,2840.0,51.220502,-0.117712
183,43.8,2853.7,51.220379,-0.117706
184,43.6,2868.6,51.220245,-0.117704
185,43.6,2884.1,51.220106,-0.117724
186,43.2,2898.5,51.219977,-0.117737
187,42.8,2913.4,51.219844,-0.117773
188,42.2,2929.1,51.219706,-0.117812
189,41.6,2945.4,51.219562,-0.117863
190,40.8,2963.0,51.219408,-0.117915
191,40.0,2980.4,51.219256,-0.117974
192,39.2,2998.8,51.219093,-0.118016
193,37.4,3035.4,51.218767,-0.118106
194,36.4,3052.2,51.218619,-0.118156
195,35.4,3068.5,51.218477,-0.118216
196,34.4,3085.6,51.218328,-0.118276
197,33.6,3102.8,51.218179,-0.118338
198,32.8,3121.4,51.218016,-0.118399
199,31.8,3140.6,51.217849,-0.118471
200,30.2,3169.3,51.2176,-0.118574
201,29.6,3186.1,51.217453,-0.118627
202,29.0,3202.4,51.217309,-0.118675
203,28.4,3218.7,51.217165,-0.118709
204,28.0,3235.6,51.217014,-0.118741
205,27.6,3251.6,51.216872,-0.118777
206,27.2,3268.0,51.216727,-0.118822
207,26.2,3300.0,51.216444,-0.118908
208,25.8,3316.3,51.216301,-0.118958
209,25.0,3348.9,51.216014,-0.119047
210,24.6,3365.8,51.215865,-0.11909
211,24.0,3396.9,51.215589,-0.119168
212,23.6,3413.0,51.215447,-0.119208
213,23.4,3427.1,51.215322,-0.119243
214,23.0,3441.7,51.215191,-0.11926
215,22.4,3469.2,51.214944,-0.119284
216,22.0,3482.5,51.214824,-0.119284
217,21.4,3509.4,51.214583,-0.119285
218,21.2,3522.2,51.214468,-0.119274
219,21.0,3534.7,51.214356,-0.119261
220,20.8,3547.2,51.214244,-0.119247
221,20.8,3561.0,51.214122,-0.11921
222,20.6,3574.2,51.214006,-0.119167
223,20.4,3587.9,51.213888,-0.119112
224,20.4,3601.8,51.21377,-0.119051
225,20.2,3615.7,51.213654,-0.118974
226,20.2,3629.3,51.213538,-0.118914
227,20.0,3642.1,51.213428,-0.118859
228,20.0,3666.3,51.213218,-0.118769
