secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,71,0.002,3.9996,0,0,78,-1.10352,51.7068,0,0,31,0,50,0,0,0,0,0,0,0,0
2,0,72,0.002,3.9996,0,0,78,-1.10352,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
3,0,72,0.002,3.9996,0,0,78,-1.10352,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
4,0,72,0.004,2.7972,0,0,78,-1.10352,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
5,0,73,0.004,2.7972,0,0,78,-1.10352,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
6,0,73,0.004,2.7972,0,0,78,-1.10351,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
7,0,73,0.004,2.7972,0,0,78,-1.1035,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
8,0,73.25,0.004,2.9349,0,0,78,-1.1035,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
9,0,73.5,0.004,3.0726,0,0,78,-1.1035,51.7067,0,0,31,0,50,0,0,0,0,0,0,0,0
10,0,73.75,0.004,3.2103,0,0,78,-1.1035,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
11,0,74,0.004,3.348,0,0,78,-1.10349,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
12,0,74.25,0.004,3.4857,0,0,78,-1.10349,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
13,0,74.5,0.004,3.6234,0,0,78,-1.10349,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
14,0,74.75,0.004,3.7611,0,0,78,-1.10349,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
15,0,75,0.004,3.8988,0,0,78,-1.10348,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
16,0,78,0.004,3.8988,0,0,78,-1.10348,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
17,0,79,0.004,3.8988,0,0,78,-1.10348,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
18,0,79,0.006,2.0988,0,0,78,-1.10348,51.7067,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
19,0,79,0.006,2.0988,0,0,78,-1.10348,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
20,0,79,0.008,3.6,0,0,78,-1.10348,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
21,0,79,0.008,3.6,0,0,78,-1.10347,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
22,0,80,0.01,5.1984,0,0,78,-1.10346,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
23,0,81,0.014,9.0972,0,0,78,-1.10345,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
24,44,82,0.018,13.698,0,161,78,-1.10344,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
25,60,82,0.023,16.398,0,271,78,-1.10344,51.7066,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
26,60,84,0.027,18.4968,0,271,78,-1.10346,51.7065,0,4.79616e-15,31,0,50,0,0,0,0,0,0,0,0
