,altitude,cadence,distance,grade_smooth,heartrate,lat,lon,moving,temp,time,velocity_smooth,watts
0,43.4,28,0.0,-18.2,69,51.201161,0.063141,False,24,0,0.0,0
1,43.4,28,0.0,-6.1,69,51.201161,0.063141,False,24,1,0.0,0
2,43.4,28,0.0,-3.3,69,51.201161,0.063141,False,24,2,0.0,0
3,43.2,28,0.0,-4.3,70,51.201161,0.063141,False,24,3,0.0,0
4,43.0,28,0.0,0.0,72,51.201162,0.063141,False,24,4,0.0,0
5,43.2,28,1.1,0.0,74,51.201167,0.063128,True,24,5,0.2,0
6,43.2,28,3.3,1.6,77,51.201176,0.0631,True,24,6,0.7,0
7,43.2,28,6.0,1.8,79,51.201186,0.063064,True,24,7,1.2,0
8,43.0,28,9.2,3.3,82,51.201195,0.063022,True,24,8,1.8,62
9,43.4,37,12.5,3.3,83,51.201204,0.062977,True,24,9,2.5,24
10,43.6,37,15.6,5.7,85,51.201212,0.062934,True,24,10,2.9,0
11,43.6,37,18.1,1.9,86,51.201218,0.0629,True,24,11,3.0,0
12,43.6,0,19.7,0.0,88,51.201221,0.062877,True,24,12,2.7,0
13,43.6,21,21.3,0.0,88,51.201227,0.062857,True,24,13,2.4,42
14,43.6,21,23.0,0.0,89,51.201232,0.062833,True,24,14,2.1,0
15,43.6,21,24.6,0.0,89,51.201239,0.062812,True,24,15,1.8,0
16,43.6,0,26.3,0.0,89,51.201249,0.062795,True,24,16,1.6,0
17,43.6,0,27.7,0.0,89,51.201258,0.062782,True,24,17,1.6,0
18,43.6,0,29.1,0.0,89,51.20127,0.062771,True,24,18,1.6,0
19,43.6,9,30.5,1.7,89,51.201282,0.062765,True,24,19,1.5,28
20,43.6,9,32.0,2.0,90,51.201295,0.062767,True,24,20,1.5,40
21,43.6,9,33.7,1.8,90,51.20131,0.06277,True,24,21,1.5,40
22,43.6,23,35.7,1.7,90,51.201328,0.062776,True,24,22,1.6,40
23,43.8,23,37.8,1.7,91,51.201346,0.062785,True,24,23,1.7,141
24,43.8,33,40.1,1.6,91,51.201364,0.0628,True,24,24,1.9,141
25,43.8,33,42.6,0.0,92,51.20138,0.062826,True,24,25,2.1,43
26,43.8,33,45.5,0.0,93,51.201391,0.062864,True,24,26,2.4,43
27,43.8,17,48.3,0.0,94,51.201398,0.062903,True,24,27,2.5,44
28,43.8,17,51.1,0.0,95,51.201401,0.062943,True,24,28,2.7,151
29,43.8,53,54.3,0.0,96,51.2014,0.062988,True,24,29,2.8,151
30,43.8,73,58.1,0.0,97,51.201397,0.063043,True,24,30,3.1,310
31,43.8,74,62.7,0.0,98,51.201394,0.063109,True,24,31,3.4,103
32,43.8,74,67.7,0.0,99,51.201388,0.06318,True,24,32,3.9,53
33,43.8,34,72.7,0.0,100,51.201374,0.063249,True,24,33,4.3,53
34,43.8,75,77.6,0.0,100,51.201349,0.063307,True,24,34,4.7,350
