,altitude,distance,grade_smooth,heartrate,lat,lon,moving,temp,time,velocity_smooth
0,76.2,0.0,-11.1,81,51.062181,-0.899335,False,13,0,0.0
1,76.4,0.0,-9.3,81,51.062181,-0.899335,False,13,1,0.0
2,76.0,0.0,-9.7,84,51.062162,-0.899333,False,13,11,0.0
3,75.8,3.6,-11.0,87,51.062129,-0.899334,True,13,12,0.3
4,75.4,8.6,-7.4,90,51.062085,-0.899337,True,13,13,0.7
5,74.8,14.5,-3.1,91,51.062032,-0.899342,True,13,14,1.1
6,74.4,21.5,0.0,94,51.061969,-0.899349,True,13,15,1.5
7,75.0,29.2,2.5,96,51.0619,-0.899357,True,13,16,1.5
8,75.4,37.3,4.1,99,51.061827,-0.899366,True,13,17,1.5
9,75.6,46.3,2.7,102,51.061747,-0.899377,True,13,18,1.5
10,75.8,55.7,1.6,103,51.061663,-0.899389,True,13,19,8.2
11,76.0,65.6,0.5,105,51.061574,-0.899404,True,13,20,8.8
12,76.0,76.0,0.0,108,51.061481,-0.899422,True,13,21,9.4
13,75.8,86.8,-0.5,111,51.061385,-0.899441,True,13,22,9.9
14,75.8,98.4,-0.4,113,51.061282,-0.899463,True,13,23,10.4
15,75.8,109.9,-0.4,115,51.061179,-0.899482,True,13,24,10.8
16,75.8,121.8,-0.4,117,51.061072,-0.899499,True,13,25,11.2
17,75.6,134.0,-0.8,118,51.060963,-0.899511,True,13,26,11.6
18,75.6,146.2,-1.6,120,51.060853,-0.899518,True,13,27,11.9
19,75.4,158.6,-1.6,121,51.060742,-0.899518,True,13,28,12.0
20,75.0,170.9,-1.6,122,51.060631,-0.899515,True,13,29,12.2
21,74.8,183.4,-1.6,123,51.060519,-0.899505,True,13,30,12.3
22,74.8,195.9,-0.8,124,51.060407,-0.899492,True,13,31,12.4
23,74.6,208.2,-0.4,125,51.060296,-0.899476,True,13,32,12.4
24,74.6,220.4,-0.8,125,51.060188,-0.899457,True,13,33,12.4
25,74.6,232.4,-0.4,125,51.06008,-0.899436,True,13,34,12.3
26,74.4,244.3,-0.9,124,51.059975,-0.899408,True,13,35,12.2
27,74.4,256.1,-1.7,124,51.059871,-0.899375,True,13,36,12.0
28,74.2,267.4,-2.2,124,51.059773,-0.899332,True,13,37,11.8
29,73.8,278.3,-5.0,124,51.059684,-0.899267,True,13,38,11.6
30,73.4,288.8,-9.7,123,51.059609,-0.899172,True,13,39,11.3
31,72.2,299.8,-12.6,123,51.059546,-0.899051,True,13,40,11.1
32,70.0,310.8,-13.2,122,51.059502,-0.898911,True,13,41,10.9
33,68.4,321.0,-11.2,122,51.0595,-0.898766,True,13,42,10.7
34,67.6,332.9,-6.6,121,51.059548,-0.898613,True,13,43,10.9
35,67.2,344.4,-2.9,121,51.059605,-0.898477,True,13,44,11.1
36,67.0,356.5,-1.7,121,51.059675,-0.898344,True,13,45,11.3
37,67.0,368.5,-0.8,121,51.059749,-0.898218,True,13,46,11.5
38,66.8,380.8,-0.4,121,51.059825,-0.898092,True,13,47,12.0
39,66.8,393.0,-0.4,122,51.059899,-0.897964,True,13,48,12.0
40,66.8,405.3,0.0,122,51.059973,-0.897834,True,13,49,12.2
41,66.8,417.6,0.0,122,51.060047,-0.897703,True,13,50,12.2
42,66.8,429.9,2.0,123,51.060122,-0.897573,True,13,51,12.3
43,66.8,442.4,4.0,123,51.060197,-0.897441,True,13,52,12.3
44,67.8,454.9,5.6,124,51.060273,-0.897309,True,13,53,12.4
45,68.8,467.6,5.9,125,51.060351,-0.897177,True,13,54,12.5
