,distance
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.7
6,2.4
7,4.9
8,7.9
9,11.9
10,16.9
11,23.4
12,31.1
13,39.5
14,48.8
15,58.7
16,69.0
17,79.4
18,90.1
19,101.1
20,112.2
21,123.7
22,135.0
23,146.7
24,158.5
25,170.2
26,182.0
27,194.0
28,206.4
29,219.0
30,231.9
31,244.9
32,258.0
33,271.1
34,283.9
35,296.8
36,309.9
37,323.0
38,336.0
39,348.9
40,361.7
41,374.2
42,386.7
43,399.2
44,411.5
45,423.6
46,435.4
47,446.9
48,457.8
49,468.2
50,479.0
51,490.2
52,501.8
53,513.8
54,525.9
55,538.1
56,550.4
57,563.0
58,575.9
59,589.0
60,602.0
61,614.9
62,627.5
63,639.9
64,652.2
65,664.2
66,676.1
67,688.2
68,700.5
69,713.0
70,726.1
71,738.9
72,751.8
73,764.4
74,776.8
75,789.2
76,801.4
77,813.8
78,826.0
79,838.0
80,849.8
81,861.6
82,873.3
83,884.8
84,896.5
85,908.2
86,919.8
87,931.0
88,942.3
89,953.2
90,964.1
91,974.4
92,984.8
93,994.7
94,1004.2
95,1014.0
96,1023.6
97,1033.3
98,1043.3
99,1053.3
100,1063.4
101,1073.8
102,1083.8
103,1093.9
104,1104.1
105,1114.5
106,1125.0
107,1135.9
108,1147.4
109,1158.5
110,1169.8
111,1181.3
112,1192.9
113,1204.6
114,1216.7
115,1228.6
116,1240.9
117,1253.4
118,1266.1
119,1279.1
120,1292.3
121,1305.5
122,1318.7
123,1331.7
124,1344.5
125,1356.8
126,1369.2
127,1381.7
128,1394.6
129,1407.4
130,1420.7
131,1434.7
132,1449.0
133,1463.2
134,1477.5
135,1491.9
136,1506.3
137,1520.6
138,1534.8
139,1548.9
140,1563.0
141,1577.2
142,1591.3
143,1605.5
144,1619.0
145,1632.5
146,1646.1
147,1659.9
148,1673.7
149,1687.5
150,1701.3
151,1715.5
152,1729.7
153,1743.9
154,1758.5
155,1772.9
156,1787.1
157,1801.3
158,1815.4
159,1829.2
160,1842.8
161,1856.5
162,1869.8
163,1883.1
164,1896.7
165,1910.5
166,1924.8
167,1939.0
168,1953.2
169,1966.9
170,1980.7
171,1994.2
172,2007.3
173,2020.5
174,2033.5
175,2046.3
176,2059.1
177,2071.6
178,2083.8
179,2095.3
180,2106.1
181,2116.0
182,2125.1
183,2134.9
184,2145.2
185,2156.0
186,2167.2
187,2179.0
188,2191.1
189,2203.3
190,2215.7
191,2228.0
192,2240.0
193,2252.0
194,2264.4
195,2276.8
196,2289.4
197,2302.1
198,2315.1
199,2328.2
200,2341.2
201,2354.4
202,2367.7
203,2380.8
204,2394.0
205,2407.1
206,2420.2
207,2433.5
208,2446.9
209,2460.4
210,2474.2
211,2487.9
212,2501.5
213,2514.9
214,2528.3
215,2541.3
216,2554.3
217,2567.0
218,2580.0
219,2592.9
220,2605.6
221,2618.0
222,2630.4
223,2643.1
224,2655.7
225,2668.0
226,2680.4
227,2692.5
228,2704.5
229,2716.3
230,2728.3
231,2740.6
232,2753.2
233,2765.9
234,2778.5
235,2791.0
236,2803.5
237,2816.2
238,2828.8
239,2841.5
240,2854.3
241,2866.6
242,2879.0
243,2891.6
244,2904.5
245,2917.2
246,2929.9
247,2942.4
248,2954.9
249,2967.4
250,2980.1
251,2992.8
252,3005.9
253,3018.8
254,3031.4
255,3044.1
256,3056.5
257,3068.7
258,3080.5
259,3092.0
260,3102.5
261,3111.6
262,3118.5
263,3125.4
264,3133.3
265,3141.9
266,3151.3
267,3161.4
268,3171.9
269,3182.7
270,3194.0
271,3205.2
272,3216.5
273,3228.1
274,3239.6
275,3251.4
276,3263.2
277,3275.2
278,3287.2
279,3299.0
280,3310.9
281,3322.7
282,3334.3
283,3345.7
284,3357.1
285,3368.4
286,3380.1
287,3391.8
288,3403.3
289,3415.1
290,3426.9
291,3438.6
292,3450.7
293,3462.6
294,3475.1
295,3487.6
296,3499.9
297,3511.9
298,3523.5
299,3535.1
300,3546.9
301,3559.1
302,3571.8
303,3584.7
304,3597.6
305,3610.3
306,3622.7
307,3634.8
308,3647.1
309,3659.1
310,3671.0
311,3683.0
312,3695.0
313,3707.3
314,3719.8
315,3732.6
316,3745.8
317,3759.3
318,3772.9
319,3786.3
320,3799.7
321,3812.8
322,3825.8
323,3838.6
324,3851.4
325,3864.2
326,3876.8
327,3889.6
328,3902.3
329,3915.1
330,3928.0
331,3941.0
332,3953.6
333,3966.3
334,3978.7
335,3990.9
336,4003.1
337,4015.3
338,4027.7
339,4039.9
340,4052.4
341,4065.0
342,4077.5
343,4090.1
344,4102.8
345,4115.2
346,4127.4
347,4139.8
348,4152.2
349,4164.7
350,4176.8
351,4188.9
352,4200.9
353,4213.0
354,4225.4
355,4237.7
356,4250.1
357,4262.4
358,4274.7
359,4286.8
360,4299.0
361,4311.3
362,4323.4
363,4335.9
364,4348.6
365,4361.6
366,4374.6
367,4387.5
368,4400.4
369,4413.3
370,4426.3
371,4439.3
372,4452.4
373,4465.2
374,4477.5
375,4489.7
376,4501.8
377,4513.9
378,4525.6
379,4536.9
380,4548.0
381,4559.2
382,4570.2
383,4581.2
384,4592.5
385,4603.8
386,4615.0
387,4626.4
388,4637.7
389,4648.9
390,4660.1
391,4671.4
392,4682.9
393,4694.4
394,4705.9
395,4717.4
396,4729.1
397,4740.8
398,4752.7
399,4764.7
400,4776.6
401,4789.0
402,4801.3
403,4813.7
404,4826.2
405,4838.8
406,4851.2
407,4863.3
408,4875.1
409,4887.3
410,4899.8
411,4912.0
412,4924.2
413,4936.5
414,4948.9
415,4961.7
416,4974.5
417,4987.0
418,4999.5
419,5012.0
420,5024.5
421,5037.0
422,5049.4
423,5061.9
424,5074.3
425,5086.5
426,5098.6
427,5110.7
428,5123.2
429,5135.6
430,5147.7
431,5159.3
432,5170.4
433,5181.1
434,5191.0
435,5200.7
436,5210.5
437,5221.5
438,5233.1
439,5245.3
440,5257.2
441,5269.4
442,5281.8
443,5294.4
444,5307.7
445,5321.2
446,5334.8
447,5348.3
448,5361.4
449,5374.3
450,5387.0
451,5399.5
452,5411.8
453,5423.7
454,5436.4
455,5448.9
456,5462.2
457,5475.6
458,5489.2
459,5503.0
460,5516.8
461,5530.6
462,5544.4
463,5558.1
464,5571.7
465,5585.1
466,5598.1
467,5610.9
468,5623.6
469,5636.3
470,5648.8
471,5661.1
472,5673.6
473,5685.9
474,5697.6
475,5709.2
476,5720.6
477,5731.9
478,5743.0
479,5754.0
480,5765.1
481,5776.0
482,5787.1
483,5798.0
484,5808.4
485,5819.1
486,5830.5
487,5842.5
488,5854.8
489,5867.5
490,5880.4
491,5893.3
492,5906.3
493,5919.5
494,5932.9
495,5946.5
496,5960.4
497,5974.2
498,5987.9
499,6002.4
500,6016.9
501,6031.5
502,6046.2
503,6060.9
