secs, cad, hr, km, kph, nm,distance, alt,lat,lon, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
,,,,,,0,23.4,48.434455,-123.329983,,0,,,,,,,,,,,
,,,,,,0.00134645,23.4,48.434457,-123.330001,,0,,,,,,,,,,,
,,,,,,0.00245307,23.4,48.434457,-123.330016,,0,,,,,,,,,,,
,,,,,,0.00407993,23.5,48.434458,-123.330038,,6.14681,,,,,,,,,,,
,,,,,,0.0148015,23.7,48.434471,-123.330182,,1.86541,,,,,,,,,,,
,,,,,,0.0198292,23.8,48.434474,-123.33025,,1.98894,,,,,,,,,,,
,,,,,,0.0519707,24.4,48.43449,-123.330685,,1.86675,,,,,,,,,,,
,,,,,,0.105682,25.3,48.434485,-123.331413,,1.67563,,,,,,,,,,,
,,,,,,0.128418,25.5,48.434492,-123.331721,,0.879659,,,,,,,,,,,
,,,,,,0.135803,25.5,48.434495,-123.331821,,0,,,,,,,,,,,
,,,,,,0.142813,25.5,48.434496,-123.331916,,1.44232,,,,,,,,,,,
,,,,,,0.149674,25.5,48.434496,-123.332009,,1.44232,,,,,,,,,,,
,,,,,,0.156019,25.5,48.434495,-123.332095,,1.44232,,,,,,,,,,,
,,,,,,0.189218,25.6,48.434496,-123.332545,,0.85776,,,,,,,,,,,
,,,,,,0.208968,25.8,48.434476,-123.332811,,0.772486,,,,,,,,,,,
,,,,,,0.224253,26,48.434452,-123.333015,,0.70444,,,,,,,,,,,
,,,,,,0.244585,26.4,48.434464,-123.33329,,0.714499,,,,,,,,,,,
,,,,,,0.25694,26.7,48.434483,-123.333455,,0.789755,,,,,,,,,,,
,,,,,,0.269874,26.8,48.434599,-123.333468,,0.779104,,,,,,,,,,,
,,,,,,0.29016,27.1,48.434781,-123.333487,,0.926989,,,,,,,,,,,
,,,,,,0.296485,27.2,48.434837,-123.333502,,1.0851,,,,,,,,,,,
,,,,,,0.3035,27.3,48.4349,-123.333507,,1.22766,,,,,,,,,,,
,,,,,,0.332982,27.6,48.435165,-123.33352,,1.32941,,,,,,,,,,,
,,,,,,0.400033,28.3,48.435768,-123.333516,,1.40369,,,,,,,,,,,
,,,,,,0.4207,28.5,48.435953,-123.333489,,1.39919,,,,,,,,,,,
,,,,,,0.430988,28.4,48.436009,-123.333378,,1.17114,,,,,,,,,,,
,,,,,,0.447674,28,48.436003,-123.333152,,0.734684,,,,,,,,,,,
,,,,,,0.45398,27.9,48.435997,-123.333067,,0.333288,,,,,,,,,,,
,,,,,,0.495942,27.3,48.435967,-123.3325,,0.112988,,,,,,,,,,,
,,,,,,0.561936,27.2,48.435946,-123.331606,,-0.0500504,,,,,,,,,,,
,,,,,,0.623102,26.2,48.435937,-123.330777,,-0.371655,,,,,,,,,,,
,,,,,,0.679891,25.2,48.435914,-123.330008,,-0.690298,,,,,,,,,,,
,,,,,,0.725347,24.6,48.435923,-123.329392,,-0.924052,,,,,,,,,,,
,,,,,,0.732142,24.5,48.43592,-123.3293,,-1.17561,,,,,,,,,,,
,,,,,,0.75708,24.4,48.435917,-123.328962,,-1.31248,,,,,,,,,,,
,,,,,,0.760696,24.4,48.435918,-123.328913,,-1.21528,,,,,,,,,,,
,,,,,,0.763288,24.3,48.435916,-123.328878,,-1.36141,,,,,,,,,,,
,,,,,,0.765356,24.3,48.435915,-123.32885,,-1.20284,,,,,,,,,,,
,,,,,,0.766958,24.4,48.435927,-123.328838,,-0.435359,,,,,,,,,,,
,,,,,,0.768666,24.4,48.435942,-123.328833,,-0.420206,,,,,,,,,,,
,,,,,,0.77082,24.4,48.435952,-123.328858,,-0.256717,,,,,,,,,,,
,,,,,,0.77702,24.4,48.43595,-123.328942,,-0.080627,,,,,,,,,,,
,,,,,,0.785221,24.5,48.435954,-123.329053,,0.173309,,,,,,,,,,,
,,,,,,0.800573,24.6,48.435958,-123.329261,,0.385611,,,,,,,,,,,
,,,,,,0.844919,25.1,48.43595,-123.329862,,0.538459,,,,,,,,,,,
,,,,,,0.89826,26,48.435945,-123.330585,,0.707186,,,,,,,,,,,
,,,,,,0.95628,27,48.435963,-123.331371,,1.2654,,,,,,,,,,,
,,,,,,0.990021,27.3,48.435975,-123.331828,,1.35431,,,,,,,,,,,
,,,,,,0.998604,27.3,48.435981,-123.331944,,0.729822,,,,,,,,,,,
,,,,,,1.00702,27.3,48.435984,-123.332058,,0.729822,,,,,,,,,,,
,,,,,,1.01536,27.3,48.435987,-123.332171,,0.729822,,,,,,,,,,,
,,,,,,1.04025,27.4,48.435996,-123.332508,,0.770012,,,,,,,,,,,
,,,,,,1.0887,28.1,48.436017,-123.333164,,0.792549,,,,,,,,,,,
,,,,,,1.10981,28.5,48.436034,-123.333449,,0.91689,,,,,,,,,,,
,,,,,,1.12184,28.8,48.436038,-123.333612,,1.05345,,,,,,,,,,,
,,,,,,1.14469,29.2,48.43606,-123.33392,,1.05975,,,,,,,,,,,
,,,,,,1.18362,29.4,48.436078,-123.334447,,0.938775,,,,,,,,,,,
,,,,,,1.21485,29.4,48.436087,-123.33487,,0.849862,,,,,,,,,,,
,,,,,,1.22344,29.5,48.436094,-123.334986,,0.966236,,,,,,,,,,,
,,,,,,1.2315,29.5,48.436099,-123.335095,,0.966236,,,,,,,,,,,
,,,,,,1.23927,29.6,48.436105,-123.3352,,1.09486,,,,,,,,,,,
,,,,,,1.2475,29.8,48.436112,-123.335311,,1.29781,,,,,,,,,,,
,,,,,,1.30092,30.7,48.436123,-123.336035,,1.32179,,,,,,,,,,,
,,,,,,1.30791,30.8,48.436111,-123.336128,,1.27538,,,,,,,,,,,
,,,,,,1.31973,30.8,48.436024,-123.33622,,1.02607,,,,,,,,,,,
,,,,,,1.3382,30.7,48.435858,-123.336228,,0.796894,,,,,,,,,,,
,,,,,,1.34432,30.6,48.435803,-123.336231,,0.582113,,,,,,,,,,,
,,,,,,1.38268,30.2,48.435458,-123.336233,,0.477845,,,,,,,,,,,
,,,,,,1.42474,29.7,48.43508,-123.336252,,0.242579,,,,,,,,,,,
,,,,,,1.44843,29.4,48.434867,-123.336244,,0.115953,,,,,,,,,,,
,,,,,,1.46144,29.3,48.43475,-123.336247,,-0.0895214,,,,,,,,,,,
,,,,,,1.46652,29.2,48.434716,-123.336201,,-0.529499,,,,,,,,,,,
,,,,,,1.47666,29.3,48.434807,-123.33621,,-0.599343,,,,,,,,,,,
,,,,,,1.49879,29.6,48.435006,-123.336205,,-0.606859,,,,,,,,,,,
,,,,,,1.53608,30,48.435341,-123.336181,,-0.499599,,,,,,,,,,,
,,,,,,1.59758,30.6,48.435894,-123.336171,,-0.347882,,,,,,,,,,,
,,,,,,1.6099,30.8,48.436004,-123.336191,,-0.0221397,,,,,,,,,,,
,,,,,,1.62189,31,48.43609,-123.336289,,0.24896,,,,,,,,,,,
,,,,,,1.6415,31.4,48.436116,-123.336552,,0.571762,,,,,,,,,,,
,,,,,,1.64897,31.5,48.43612,-123.336653,,0.832359,,,,,,,,,,,
,,,,,,1.68247,32,48.436125,-123.337107,,1.05848,,,,,,,,,,,
,,,,,,1.74165,33.1,48.436137,-123.337909,,1.44119,,,,,,,,,,,
,,,,,,1.78063,33.6,48.436124,-123.338437,,1.47085,,,,,,,,,,,
,,,,,,1.788,33.5,48.436073,-123.338501,,1.19977,,,,,,,,,,,
,,,,,,1.80885,33.2,48.435893,-123.33858,,0.948601,,,,,,,,,,,
,,,,,,1.8299,32.8,48.435704,-123.338597,,0.661038,,,,,,,,,,,
,,,,,,1.85192,32.4,48.435506,-123.338593,,0.317037,,,,,,,,,,,
,,,,,,1.9073,31.6,48.435008,-123.338599,,0.00574061,,,,,,,,,,,
,,,,,,1.91732,31.4,48.43492,-123.33857,,-0.397844,,,,,,,,,,,
,,,,,,1.92442,31.5,48.43498,-123.338537,,-0.39101,,,,,,,,,,,
,,,,,,1.94044,31.6,48.435124,-123.338529,,-0.477864,,,,,,,,,,,
,,,,,,1.96246,32,48.435322,-123.338522,,-0.482104,,,,,,,,,,,
,,,,,,1.97759,32.3,48.435458,-123.338524,,-0.412008,,,,,,,,,,,
,,,,,,2.02275,33.1,48.435864,-123.338505,,-0.0993705,,,,,,,,,,,
,,,,,,2.04189,33.5,48.436036,-123.338512,,0.253608,,,,,,,,,,,
,,,,,,2.05302,33.6,48.436106,-123.33862,,0.533381,,,,,,,,,,,
,,,,,,2.05839,33.7,48.436119,-123.33869,,0.901523,,,,,,,,,,,
,,,,,,2.06488,33.8,48.436134,-123.338775,,1.2001,,,,,,,,,,,
,,,,,,2.07108,33.8,48.436143,-123.338858,,1.39978,,,,,,,,,,,
,,,,,,2.07813,33.8,48.43615,-123.338953,,1.25897,,,,,,,,,,,
,,,,,,2.085,33.9,48.436148,-123.339046,,1.34224,,,,,,,,,,,
,,,,,,2.09284,33.9,48.436143,-123.339152,,1.16061,,,,,,,,,,,
,,,,,,2.09977,34,48.436144,-123.339246,,1.10642,,,,,,,,,,,
,,,,,,2.12929,34.2,48.43615,-123.339646,,0.997059,,,,,,,,,,,
,,,,,,2.16514,34.7,48.43615,-123.340132,,0.927447,,,,,,,,,,,
,,,,,,2.21748,35.4,48.436134,-123.340841,,0.971421,,,,,,,,,,,
,,,,,,2.23006,35.3,48.436032,-123.340915,,0.705499,,,,,,,,,,,
,,,,,,2.24203,35.2,48.435925,-123.340932,,0.4678,,,,,,,,,,,
,,,,,,2.24703,35.2,48.43588,-123.340931,,0.4678,,,,,,,,,,,
,,,,,,2.25084,35.1,48.435846,-123.340925,,0.205088,,,,,,,,,,,
,,,,,,2.25429,35.1,48.435815,-123.340928,,0.0594105,,,,,,,,,,,
,,,,,,2.26118,35,48.435754,-123.340912,,-0.0858363,,,,,,,,,,,
,,,,,,2.26375,35,48.435731,-123.340908,,-0.230021,,,,,,,,,,,
,,,,,,2.26684,35,48.435704,-123.340918,,-0.29778,,,,,,,,,,,
,,,,,,2.27009,34.9,48.435675,-123.340923,,-0.745338,,,,,,,,,,,
,,,,,,2.27419,34.9,48.435639,-123.340935,,-0.879091,,,,,,,,,,,
,,,,,,2.28965,34.8,48.4355,-123.340935,,-0.864345,,,,,,,,,,,
,,,,,,2.29554,34.7,48.435447,-123.340934,,-0.95043,,,,,,,,,,,
,,,,,,2.30112,34.7,48.435397,-123.340941,,-0.95043,,,,,,,,,,,
,,,,,,2.3073,34.6,48.435342,-123.340953,,-0.849544,,,,,,,,,,,
,,,,,,2.31388,34.6,48.435283,-123.340959,,-0.849544,,,,,,,,,,,
,,,,,,2.32143,34.5,48.435216,-123.340942,,-0.836662,,,,,,,,,,,
,,,,,,2.36747,34.1,48.434802,-123.340943,,-0.923553,,,,,,,,,,,
,,,,,,2.40018,33.7,48.434508,-123.340957,,-1.04585,,,,,,,,,,,
,,,,,,2.40655,33.7,48.434451,-123.340966,,-0.737747,,,,,,,,,,,
,,,,,,2.41112,33.6,48.43441,-123.340971,,-0.956379,,,,,,,,,,,
,,,,,,2.41537,33.6,48.434377,-123.341,,-0.89168,,,,,,,,,,,
,,,,,,2.41955,33.6,48.434348,-123.341036,,-0.72201,,,,,,,,,,,
,,,,,,2.42506,33.7,48.434326,-123.341103,,-0.540692,,,,,,,,,,,
,,,,,,2.43042,33.8,48.43432,-123.341175,,-0.192074,,,,,,,,,,,
,,,,,,2.43721,33.9,48.434323,-123.341267,,-0.0449183,,,,,,,,,,,
,,,,,,2.44372,34,48.434327,-123.341355,,0.241116,,,,,,,,,,,
,,,,,,2.48813,34.7,48.43435,-123.341956,,0.48562,,,,,,,,,,,
,,,,,,2.54998,35.1,48.434392,-123.342792,,0.672585,,,,,,,,,,,
,,,,,,2.55748,35.2,48.434399,-123.342893,,0.806064,,,,,,,,,,,
,,,,,,2.57968,35.3,48.434415,-123.343193,,1.06973,,,,,,,,,,,
,,,,,,2.60732,35.7,48.434468,-123.343559,,1.21446,,,,,,,,,,,
,,,,,,2.62545,36,48.434621,-123.343644,,1.37992,,,,,,,,,,,
,,,,,,2.63187,36,48.434678,-123.34363,,1.1986,,,,,,,,,,,
