Rank,Rider,Club Name,Points,RiderID,ClubID,Region,Year,Sex,Cat,Page
1,Matt Witts,Ride 24/7,189,191214,1988,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=191214&year=2016&d=4
2,Matthew Woods,Performance Cycles,179,45002,4902,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=45002&year=2016&d=4
3,Matthew Downie,Eden Veranda Racing,160,409153,6926,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=409153&year=2016&d=4
4,Ashley Hutchison,VC St Raphael,159,44139,2933,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=44139&year=2016&d=4
5,Colin Parry,Ride 24/7,137,70421,1988,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=70421&year=2016&d=4
6,Jack Freeman,VC Meudon,128,238511,101,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=238511&year=2016&d=4
7,Edward Hatfield,Primera-TeamJobs,126,318463,6131,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=318463&year=2016&d=4
8,Neil Rutter,Cotswold Veldrijden,120,57212,6274,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=57212&year=2016&d=4
9,Frank Kilsby,VC St Raphael,115,234571,2933,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=234571&year=2016&d=4
9,Martin Smith,Dream Cycling Race Team,115,59989,1831,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=59989&year=2016&d=4
11,Simon Brooks,VC St Raphael,113,65863,2933,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=65863&year=2016&d=4
12,Matthew Cox,Giant Cycling Club - Halo Films,111,224806,2977,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=224806&year=2016&d=4
13,Lewis Martin,Eden Veranda Racing,100,256084,6926,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=256084&year=2016&d=4
14,Patryk Rucki,Skinline Race Club,94,332366,7311,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=332366&year=2016&d=4
15,Matthew Franklin,Bristol RC,89,118969,3499,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=118969&year=2016&d=4
16,Jamie Penton,Dream Cycling Race Team,85,248532,1831,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=248532&year=2016&d=4
17,Jacob Pilkington,Performance Cycles,83,430284,4902,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=430284&year=2016&d=4
18,John Russell,T1Diabetes.info,79,51602,6441,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=51602&year=2016&d=4
19,Rory Gilling,Velo Club Montpellier,77,137041,45,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=137041&year=2016&d=4
20,Daniel McKimm,Neon-Velo Cycling Team,76,54725,6022,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=54725&year=2016&d=4
21,Ben Strain,Radeon-Bike Science RT,75,309327,6468,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=309327&year=2016&d=4
22,Thomas Grigson,Radeon-Bike Science RT,74,257278,6468,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=257278&year=2016&d=4
22,Simon Ker,Bath Cycling Club,74,7357,2327,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=7357&year=2016&d=4
24,Jamie Wilkins,Veloton Team,73,199057,6896,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=199057&year=2016&d=4
25,Malcolm Dixon,Dream Cycling Race Team,62,55651,1831,South,2016,Male,2nd,https://www.britishcycling.org.uk/points?person_id=55651&year=2016&d=4
