secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,126,0,0,0,0,77.6,-1.4652,51.6751,0,0,22,0,-255,0,0,0,0,0,0,0,0
2,0,126,0,2.57328,0,0,77.52,-1.4652,51.6751,0,0,22,0,-255,0,0,0,0,0,0,0,0
3,0,126,0,5.14656,0,0,77.44,-1.46519,51.6751,0,0,22,0,-255,0,0,0,0,0,0,0,0
4,0,126,0,7.71984,0,0,77.36,-1.46518,51.6751,0,0,22,0,-255,0,0,0,0,0,0,0,0
5,0,126,0,10.2931,0,0,77.28,-1.46517,51.6751,0,0,22,0,-255,0,0,0,0,0,0,0,0
6,0,126,0,12.8664,0,0,77.2,-1.46516,51.6751,0,0,22,0,-255,0,0,0,0,0,0,0,0
7,53,126,0.00423,17.6004,0,447,77,-1.46512,51.6751,0,-4.72813,22,0,49,0,0,0,0,0,0,0,0
8,70,127,0.00968,21.3624,0,530,76.4,-1.46505,51.675,0,-11.0092,22,0,51,0,0,0,0,0,0,0,0
9,82,130,0.01604,24.4188,0,555,75.8,-1.46497,51.675,0,-9.43396,22,0,51,0,0,0,0,0,0,0,0
10,92,131,0.02331,27.576,0,583,75.4,-1.46487,51.675,0,-3.06733,22,0,50,0,0,0,0,0,0,0,0
11,102,133,0.0315,30.2328,0,605,74.8,-1.46476,51.675,0,-3.79993,22,0,50,0,0,0,0,0,0,0,0
12,106,136,0.04031,32.6484,0,544,74.4,-1.46464,51.675,0,-4.25396,22,0,49,0,0,0,0,0,0,0,0
13,117,138,0.04976,34.7328,0,433,74.2,-1.46451,51.6749,0,-4.4656,22,0,49,0,0,0,0,0,0,0,0
14,117,140,0.05968,36.108,0,384,75,-1.46437,51.6749,0,-3.65915,22,0,53,0,0,0,0,0,0,0,0
15,103,144,0.06991,37.116,0,340,75.6,-1.46423,51.6749,0,-3.07264,22,0,51,0,0,0,0,0,0,0,0
16,109,145,0.08036,37.6884,0,368,75.6,-1.46408,51.6748,0,-3.07264,22,0,54,0,0,0,0,0,0,0,0
17,113,145,0.09106,38.664,0,355,75.4,-1.46394,51.6748,0,-2.78674,22,0,54,0,0,0,0,0,0,0,0
18,112,149,0.10199,39.4704,0,369,75.8,-1.46378,51.6748,0,-1.31986,22,0,54,0,0,0,0,0,0,0,0
