,altitude,cadence,distance,grade_smooth,heartrate,lat,lon,moving,temp,time,velocity_smooth,watts
0,8.8,9,3552.5,-2.9,110,51.453699,-0.257383,True,19,564,9.6,7
1,8.3,81,3562.8,-3.6,110,51.45365,-0.25751,True,19,565,9.8,222
2,7.8,89,3573.5,-3.7,110,51.453607,-0.257648,True,19,566,10.1,422
3,7.5,68,3584.6,-2.7,111,51.453563,-0.25779,True,19,567,10.4,304
4,7.2,74,3595.8,-1.8,112,51.453517,-0.257933,True,19,568,10.7,440
5,7.1,78,3607.2,-1.5,113,51.453469,-0.258078,True,19,569,10.9,385
6,7.0,77,3619.2,-1.1,114,51.453416,-0.258228,True,19,570,11.3,293
7,6.8,79,3631.3,-0.6,115,51.453363,-0.25838,True,19,571,11.6,283
8,6.7,79,3643.4,-0.2,117,51.453312,-0.258534,True,19,572,11.8,275
9,6.8,80,3655.5,0.2,117,51.453262,-0.258689,True,19,573,11.9,353
10,6.9,77,3667.6,0.4,119,51.45321,-0.258842,True,19,574,12.1,374
11,6.9,78,3679.6,-1.3,120,51.453159,-0.258994,True,19,575,12.1,369
12,6.9,80,3691.3,-1.9,123,51.453114,-0.259147,True,19,576,12.0,242
13,6.2,78,3703.1,-1.9,124,51.453073,-0.259302,True,19,577,11.9,383
14,6.0,81,3715.0,-1.9,124,51.453034,-0.259463,True,19,578,11.9,569
15,6.0,81,3727.3,-0.4,126,51.452998,-0.259629,True,19,579,11.9,421
16,6.0,77,3739.8,0.2,127,51.452959,-0.259798,True,19,580,12.0,189
17,6.0,82,3752.1,0.2,128,51.452922,-0.259966,True,19,581,12.2,333
18,6.1,81,3764.4,0.2,130,51.45289,-0.260135,True,19,582,12.3,428
19,6.1,81,3776.8,0.4,131,51.452857,-0.260305,True,19,583,12.4,416
20,6.1,79,3789.1,0.2,132,51.452818,-0.260472,True,19,584,12.4,386
21,6.2,81,3801.4,0.4,133,51.452782,-0.260639,True,19,585,12.3,403
22,6.2,81,3813.9,0.6,133,51.452745,-0.260808,True,19,586,12.4,397
23,6.3,80,3826.2,0.4,135,51.452708,-0.260975,True,19,587,12.4,399
24,6.4,81,3838.6,0.6,136,51.452673,-0.261144,True,19,588,12.4,513
25,6.4,81,3851.1,0.4,136,51.452637,-0.261315,True,19,589,12.4,480
26,6.5,82,3863.6,0.4,137,51.452603,-0.261486,True,19,590,12.4,453
27,6.5,82,3876.2,0.8,138,51.45257,-0.26166,True,19,591,12.5,383
28,6.6,82,3888.8,1.0,138,51.452537,-0.261833,True,19,592,12.5,383
29,6.8,78,3901.5,1.2,138,51.452502,-0.262006,True,19,593,12.6,246
30,7.0,82,3914.0,1.4,139,51.452467,-0.262178,True,19,594,12.6,254
31,7.1,78,3926.3,1.6,139,51.452434,-0.262347,True,19,595,12.5,251
32,7.3,78,3938.4,2.5,139,51.452404,-0.262514,True,19,596,12.4,270
33,7.6,78,3950.4,2.9,139,51.452374,-0.262679,True,19,597,12.3,213
34,8.2,82,3962.2,3.0,140,51.452345,-0.262843,True,19,598,12.1,235
35,8.5,81,3973.9,2.6,139,51.452318,-0.263006,True,19,599,12.0,215
36,8.7,86,3985.4,1.8,140,51.452293,-0.263166,True,19,600,11.8,215
37,8.8,86,3996.7,1.3,140,51.452268,-0.263324,True,19,601,11.7,246
38,9.0,84,4007.9,1.4,139,51.452244,-0.26348,True,19,602,11.5,246
39,9.1,81,4018.9,1.4,139,51.452219,-0.263633,True,19,603,11.3,199
40,9.3,82,4029.8,1.4,139,51.452192,-0.263784,True,19,604,11.2,182
41,9.4,80,4040.4,1.4,140,51.452168,-0.263932,True,19,605,11.0,335
42,9.6,77,4050.9,1.2,139,51.452147,-0.264079,True,19,606,10.8,450
43,9.7,81,4061.3,1.4,139,51.452127,-0.264225,True,19,607,10.7,475
44,9.8,81,4071.7,1.4,139,51.452105,-0.264371,True,19,608,10.6,454
