secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,0,0,0,0,0,57,-0.0703066,51.167,0,0,10,0,-255,0,0,0,0,0,0,0,0
2,0,0,1e-05,0,0,0,57,-0.0703066,51.167,0,0,10,0,-255,0,0,0,0,0,0,0,0
3,0,0,1e-05,0,0,0,57,-0.0703067,51.167,0,0,10,0,-255,0,0,0,0,0,0,0,0
4,0,90,2e-05,0,0,0,57,-0.0703066,51.167,0,0,10,0,-255,0,0,0,0,0,0,0,0
5,4,90,0.00077,4.3344,0,29,57,-0.0703002,51.167,0,0,10,0,-255,0,98,0,31.5,0,0,0,0
6,4,90,0.0024,7.5924,0,331,56.8,-0.0702837,51.167,0,-12.2699,10,0,0,0,98,0,31.5,0,0,0,0
7,4,90,0.00484,9.27,0,331,56.8,-0.0702542,51.167,0,0,10,0,0,0,98,0,31.5,0,0,0,0
8,36,92,0.00786,12.3264,0,331,56.6,-0.0702154,51.167,0,-6.62252,10,0,-255,0,0,0,0,0,0,0,0
9,36,95,0.01186,16.29,0,645,56.2,-0.0701642,51.167,0,-10,10,0,52,99.5,99,27.5,30,0,0,0,0
10,66,97,0.01694,20.4912,0,645,56,-0.070099,51.1669,0,-3.28295,10,0,52,100,100,31.5,30.5,0,0,0,0
11,76,100,0.02342,25.1244,0,721,55.6,-0.0700157,51.1669,0,-3.90023,10,0,51,100,100,29.5,34.5,0,0,0,0
12,87,101,0.03105,28.9548,0,684,55.6,-0.0699164,51.1669,0,-3.90023,10,0,50,99.5,99.5,31,33,0,0,0,0
13,97,104,0.03954,31.8096,0,772,55,-0.0698046,51.1669,0,-4.60694,10,0,50,96.5,93.5,30.5,32.5,0,0,0,0
14,102,107,0.04887,34.7328,0,617,54.8,-0.0696805,51.1668,0,-4.82131,10,0,56,96.5,93.5,30.5,32.5,0,0,0,0
15,104,109,0.05878,36.4788,0,339,54.4,-0.0695471,51.1668,0,-5.22494,10,0,52,84.5,77.5,24.5,24,0,0,0,0
16,78,112,0.06904,36.9144,0,340,54,-0.0694073,51.1668,0,-4.38781,10,0,47,84.5,77.5,24.5,24,0,0,0,0
