secs,altitude,distance,lat,lon
0,1704.6,0.0,44.785548,6.73348
1,1704.6,0.0,44.785548,6.73348
2,1703.7,8.1,44.785539,6.733595
3,1704.0,11.3,44.785567,6.733601
4,1704.3,13.5,44.785588,6.733587
5,1705.0,18.7,44.785635,6.733567
6,1705.6,24.2,44.78568,6.733534
7,1706.9,35.2,44.785768,6.73347
8,1707.8,44.9,44.785845,6.733412
9,1709.8,68.3,44.786034,6.73328
10,1710.6,81.2,44.786141,6.733219
11,1711.3,93.6,44.786249,6.73318
12,1712.6,114.8,44.786436,6.733125
13,1713.7,133.3,44.786601,6.733087
14,1715.1,158.1,44.786823,6.733069
15,1717.0,188.1,44.787093,6.733069
16,1718.2,203.4,44.78723,6.73308
17,1720.6,231.5,44.787481,6.733127
18,1722.9,262.5,44.78776,6.733124
19,1725.6,300.7,44.788102,6.733085
20,1728.5,340.0,44.788455,6.733053
21,1730.8,369.2,44.788718,6.733034
22,1732.2,399.8,44.788992,6.732996
23,1733.4,436.5,44.789317,6.732916
24,1736.2,476.9,44.789653,6.732724
25,1739.9,522.4,44.790023,6.732479
26,1741.8,552.9,44.790274,6.732326
27,1744.5,583.6,44.790547,6.732259
28,1749.3,620.9,44.79088,6.732215
29,1753.7,654.3,44.79118,6.732182
30,1757.1,685.0,44.791455,6.732143
31,1760.4,717.6,44.791743,6.732068
32,1764.0,752.0,44.792038,6.731938
33,1766.2,773.7,44.792225,6.731857
34,1768.3,794.1,44.792403,6.731791
35,1772.0,831.0,44.792722,6.731663
36,1775.2,862.8,44.792991,6.731528
37,1777.7,893.4,44.793249,6.731393
38,1779.4,914.4,44.793427,6.731301
39,1781.4,941.9,44.793654,6.731165
40,1783.5,966.8,44.793857,6.73103
41,1786.4,993.4,44.79407,6.730877
42,1790.0,1022.0,44.794299,6.730712
43,1793.9,1048.1,44.79451,6.730567
44,1796.0,1064.4,44.794638,6.730468
45,1797.4,1083.4,44.794787,6.73035
46,1799.0,1107.0,44.794969,6.730195
47,1800.3,1126.1,44.795109,6.730055
48,1802.0,1150.3,44.795276,6.72986
49,1803.9,1172.5,44.795431,6.729684
50,1808.0,1202.8,44.795619,6.729408
51,1810.2,1219.2,44.795721,6.729257
52,1812.8,1239.9,44.795838,6.729052
53,1816.6,1273.2,44.796008,6.728706
54,1819.6,1307.3,44.796151,6.728325
55,1822.4,1330.9,44.7963,6.728111
56,1825.3,1350.3,44.796468,6.728057
57,1828.6,1373.6,44.79667,6.728125
58,1830.3,1395.1,44.7968,6.728322
59,1830.5,1401.0,44.796821,6.72839
60,1831.8,1415.0,44.796916,6.728506
61,1831.8,1417.3,44.79692,6.728531
62,1831.7,1418.5,44.796915,6.728545
63,1831.6,1419.6,44.796911,6.728558
64,1830.7,1420.8,44.796874,6.728668
65,1830.8,1431.3,44.796882,6.728801
66,1831.2,1436.6,44.796884,6.728868
67,1831.9,1447.0,44.796891,6.728998
68,1832.2,1452.2,44.796889,6.729064
69,1832.1,1472.0,44.796839,6.729302
70,1831.2,1480.6,44.79679,6.729386
71,1829.1,1496.8,44.796692,6.729537
72,1828.4,1502.1,44.79666,6.729588
73,1828.0,1518.1,44.796592,6.729765
74,1828.0,1539.8,44.796522,6.730021
75,1827.4,1563.7,44.796444,6.730302
76,1829.5,1584.9,44.796433,6.730566
77,1835.5,1606.3,44.796529,6.730798
78,1841.4,1630.8,44.796615,6.731075
79,1841.7,1646.3,44.796566,6.731256
80,1841.0,1667.4,44.796423,6.73143
81,1838.4,1693.4,44.796225,6.731606
82,1836.8,1712.0,44.796112,6.731775
83,1837.8,1735.6,44.796023,6.732046
84,1838.9,1757.8,44.796025,6.732321
85,1845.5,1778.3,44.79614,6.732522
86,1857.4,1815.2,44.796372,6.732855
87,1863.0,1838.5,44.796537,6.733032
88,1868.7,1864.8,44.79674,6.733202
89,1871.5,1887.7,44.796898,6.733389
90,1876.1,1908.9,44.797069,6.7335
91,1883.3,1938.8,44.797324,6.73362
92,1889.8,1970.9,44.797591,6.733775
93,1894.6,1993.0,44.797779,6.733863
94,1895.7,2017.8,44.797955,6.734055
95,1895.7,2051.9,44.798182,6.734345
96,1895.7,2082.6,44.798378,6.734618
97,1896.3,2085.0,44.798398,6.734626
98,1896.7,2086.2,44.798408,6.734626
99,1897.1,2087.3,44.798419,6.734627
100,1899.2,2088.5,44.798478,6.734629
101,1904.5,2102.3,44.798562,6.734511
102,1908.1,2116.7,44.798519,6.734346
103,1908.2,2120.0,44.798496,6.734318
104,1907.9,2141.0,44.79835,6.734149
105,1908.9,2164.1,44.798208,6.733938
106,1911.5,2190.7,44.798072,6.73366
107,1911.0,2204.2,44.797987,6.733539
108,1908.2,2223.8,44.797839,6.733406
109,1903.0,2253.8,44.797599,6.733233
110,1899.3,2282.7,44.797384,6.733029
111,1895.3,2303.7,44.797238,6.732861
112,1887.6,2326.0,44.79714,6.732617
113,1885.1,2342.6,44.797155,6.732411
114,1887.8,2354.5,44.797247,6.732345
115,1896.5,2377.8,44.797456,6.732347
116,1903.5,2398.0,44.797636,6.73232
117,1907.9,2416.1,44.797777,6.73221
118,1912.4,2442.9,44.797947,6.731969
119,1913.0,2461.8,44.798003,6.731745
120,1910.2,2488.7,44.798019,6.731404
121,1909.9,2512.6,44.798074,6.731114
122,1914.2,2534.1,44.798201,6.730914
123,1919.6,2557.5,44.798356,6.730714
124,1920.9,2578.9,44.798446,6.730476
125,1918.9,2607.1,44.79853,6.730142
126,1920.5,2625.1,44.798627,6.72996
127,1923.1,2643.1,44.798738,6.729793
128,1926.6,2660.7,44.798865,6.729664
129,1927.2,2686.4,44.798999,6.729403
130,1923.8,2701.8,44.799015,6.729212
131,1920.6,2715.0,44.799025,6.729045
132,1922.3,2725.2,44.799103,6.729009
133,1926.3,2735.3,44.799148,6.729115
134,1928.1,2740.7,44.799151,6.729183
135,1933.2,2763.0,44.799114,6.729458
136,1933.3,2763.5,44.799112,6.729465
137,1933.3,2763.5,44.799112,6.729465
138,1933.3,2763.5,44.799112,6.729465
139,1935.4,2778.0,44.799052,6.72968
140,1936.3,2796.2,44.798981,6.729888
141,1936.5,2806.8,44.798935,6.730005
142,1936.5,2821.9,44.79887,6.730173
143,1936.7,2834.7,44.798819,6.730318
144,1936.9,2841.7,44.798792,6.730401
145,1938.2,2852.0,44.798778,6.730529
146,1939.5,2860.0,44.798773,6.73063
147,1944.3,2888.2,44.798759,6.730985
148,1944.1,2909.1,44.798685,6.731224
149,1940.9,2933.1,44.798573,6.731481
150,1943.0,2954.2,44.798558,6.731746
151,1947.4,2985.5,44.798561,6.732141
152,1948.8,3006.5,44.798541,6.732405
153,1950.0,3011.5,44.798554,6.732465
154,1955.8,3024.8,44.798661,6.73249
155,1958.0,3037.2,44.798724,6.732367
156,1957.8,3040.2,44.798727,6.732328
157,1956.0,3066.2,44.798748,6.732002
158,1957.4,3091.0,44.798822,6.73171
159,1963.7,3115.5,44.79897,6.731483
160,1968.0,3134.5,44.799084,6.731306
161,1969.1,3159.1,44.799187,6.731031
162,1970.0,3187.4,44.799313,6.73072
163,1972.9,3212.7,44.799461,6.730476
164,1975.7,3240.3,44.799634,6.730225
165,1976.9,3261.7,44.799772,6.730032
166,1976.6,3284.3,44.79991,6.729818
167,1976.4,3310.6,44.800082,6.72959
168,1975.5,3321.8,44.800166,6.729513
169,1982.7,3334.1,44.800238,6.7296
170,1984.1,3342.0,44.800199,6.729684
171,1983.4,3367.2,44.800021,6.729882
172,1982.3,3389.8,44.799867,6.730067
173,1982.2,3413.9,44.799727,6.730301
174,1982.7,3440.7,44.799602,6.73059
175,1984.6,3468.0,44.799509,6.73091
176,1987.8,3489.6,44.799467,6.731176
177,1991.4,3519.6,44.799418,6.731549
178,1993.4,3544.8,44.799368,6.73186
179,1993.0,3565.3,44.799305,6.732102
180,1993.1,3569.7,44.799307,6.732145
181,1993.8,3571.0,44.799318,6.732147
182,1994.5,3572.2,44.79933,6.73215
183,1997.7,3573.5,44.799381,6.732163
184,2000.6,3579.1,44.799426,6.732193
185,2008.1,3594.6,44.799551,6.73228
186,2016.9,3615.7,44.799735,6.732346
187,2025.2,3635.1,44.799909,6.732344
188,2031.3,3649.4,44.800038,6.73235
189,2037.3,3663.6,44.800166,6.732351
190,2044.9,3684.3,44.800347,6.732408
191,2050.2,3714.0,44.800576,6.7326
192,2052.4,3741.5,44.800759,6.732835
193,2053.3,3764.1,44.800919,6.73301
194,2054.7,3794.6,44.801149,6.733221
195,2053.7,3822.9,44.801321,6.733483
196,2055.7,3842.7,44.801457,6.733644
197,2060.8,3867.0,44.801635,6.733823
198,2064.2,3888.7,44.801766,6.734027
199,2067.3,3912.6,44.801909,6.734248
200,2072.8,3925.8,44.802022,6.734239
201,2076.9,3936.7,44.80206,6.734115
202,2078.1,3954.0,44.802008,6.733914
203,2074.5,3979.0,44.801852,6.733687
204,2071.7,4003.1,44.801695,6.733477
205,2073.1,4021.2,44.801617,6.733279
206,2075.9,4036.8,44.801569,6.733095
207,2076.6,4056.0,44.801463,6.732905
208,2075.3,4068.5,44.801387,6.732789
209,2075.1,4088.4,44.801291,6.732577
210,2076.9,4102.8,44.801257,6.732404
211,2079.4,4125.7,44.801194,6.732128
212,2076.5,4143.6,44.801136,6.731917
213,2068.3,4171.8,44.800982,6.731635
214,2062.5,4194.5,44.800889,6.731386
215,2062.0,4205.4,44.800915,6.73125
216,2065.8,4217.9,44.801022,6.731252
217,2070.0,4233.5,44.801093,6.731418
218,2076.1,4257.0,44.801193,6.731679
219,2082.4,4279.8,44.801337,6.731881
220,2088.8,4302.0,44.801511,6.732019
221,2093.3,4325.8,44.801686,6.732193
222,2095.7,4352.0,44.80184,6.732444
223,2097.8,4372.6,44.801952,6.732651
224,2101.1,4395.2,44.802079,6.732874
225,2101.2,4418.1,44.802202,6.733107
226,2102.0,4435.1,44.802308,6.733261
227,2103.5,4452.0,44.802423,6.733401
228,2105.9,4467.7,44.802542,6.733507
229,2112.2,4497.0,44.802781,6.733662
230,2116.4,4520.1,44.802961,6.733811
231,2120.3,4546.8,44.803168,6.733979
232,2124.3,4570.0,44.803359,6.7341
233,2128.7,4597.5,44.803584,6.734243
234,2131.3,4614.3,44.803723,6.734327
235,2132.8,4635.3,44.803901,6.734418
236,2134.3,4652.7,44.804051,6.734479
237,2137.9,4673.3,44.804235,6.734473
238,2142.4,4695.4,44.804431,6.734427
239,2146.0,4717.4,44.804626,6.734379
240,2146.5,4735.7,44.804791,6.734364
241,2146.7,4750.7,44.804925,6.734352
242,2147.0,4770.4,44.805099,6.734394
243,2147.5,4783.8,44.805217,6.734434
244,2149.3,4804.4,44.805384,6.734544
245,2150.4,4820.9,44.805513,6.734648
246,2150.5,4837.0,44.805612,6.73479
247,2149.7,4851.4,44.80563,6.734971
248,2149.6,4852.8,44.805629,6.734988
249,2149.6,4852.8,44.805629,6.734988
250,2149.6,4852.8,44.805629,6.734988
251,2149.1,4852.8,44.805585,6.73497
252,2149.1,4852.8,44.805585,6.73497
253,2149.1,4852.8,44.805585,6.73497
254,2148.7,4853.5,44.805552,6.734953
255,2148.7,4853.5,44.805552,6.734953
256,2148.7,4853.5,44.805552,6.734953
257,2148.0,4857.4,44.80556,6.735091
258,2147.1,4864.0,44.805534,6.735169
259,2145.3,4874.5,44.805479,6.735278
260,2144.2,4880.3,44.805442,6.735329
261,2143.7,4883.0,44.805426,6.735355
262,2142.7,4888.3,44.805393,6.735403
263,2142.5,4891.0,44.805373,6.735423
264,2143.6,4908.6,44.805252,6.735564
265,2144.4,4923.2,44.805147,6.735675
266,2145.1,4937.8,44.805042,6.735786
267,2145.4,4959.7,44.804869,6.735923
268,2146.6,4983.5,44.804697,6.736103
269,2147.1,5002.5,44.804554,6.736232
270,2147.9,5024.6,44.804378,6.736364
271,2149.1,5041.3,44.804254,6.736479
272,2152.4,5060.0,44.804151,6.736666
273,2156.4,5086.8,44.803998,6.736925
274,2157.2,5109.7,44.803831,6.737096
275,2157.9,5127.7,44.803694,6.737219
276,2159.4,5151.7,44.803512,6.737379
277,2163.3,5164.7,44.803488,6.73753
278,2166.6,5177.5,44.803589,6.737585
279,2166.8,5180.4,44.803614,6.737577
280,2166.8,5204.9,44.803812,6.737445
281,2167.1,5228.4,44.804001,6.737308
282,2167.8,5248.8,44.804167,6.737199
283,2168.6,5280.0,44.80442,6.737027
284,2169.2,5311.0,44.804676,6.736875
285,2168.7,5326.9,44.804805,6.736786
286,2168.8,5347.9,44.804981,6.736692
287,2170.0,5365.7,44.805138,6.736648
288,2175.2,5394.1,44.805392,6.73667
289,2180.2,5418.1,44.805609,6.736677
290,2182.4,5435.0,44.805758,6.736642
291,2184.0,5459.1,44.805966,6.736555
292,2186.0,5488.0,44.806217,6.736459
293,2188.0,5513.9,44.806441,6.736371
294,2190.3,5539.9,44.806665,6.736277
295,2194.1,5566.1,44.806894,6.736197
296,2196.9,5592.1,44.80712,6.736111
297,2195.5,5617.6,44.807346,6.736085
298,2197.3,5636.5,44.807493,6.736195
299,2202.5,5656.6,44.807565,6.736426
300,2210.2,5685.2,44.807644,6.736767
301,2217.1,5725.2,44.807886,6.737136
302,2211.8,5753.6,44.808132,6.737225
303,2208.1,5764.0,44.808225,6.737216
304,2198.1,5792.1,44.808477,6.737191
305,2193.3,5819.4,44.808704,6.737313
306,2195.4,5839.6,44.808816,6.737513
307,2201.3,5883.7,44.809041,6.737971
308,2198.3,5920.8,44.809285,6.738288
309,2188.9,5960.3,44.809617,6.738462
310,2184.9,5999.5,44.809967,6.738463
311,2182.9,6012.1,44.810079,6.738432
312,2175.9,6059.2,44.810489,6.738283
313,2176.0,6098.4,44.81081,6.738078
314,2175.1,6133.3,44.811078,6.737843
315,2174.5,6148.8,44.811186,6.73772
316,2172.4,6173.2,44.811294,6.737458
317,2167.4,6196.3,44.811315,6.737168
318,2167.3,6208.4,44.811342,6.737021
319,2172.6,6225.0,44.811431,6.736854
320,2174.7,6230.3,44.811468,6.736813
321,2180.4,6243.2,44.811568,6.736729
322,2186.4,6261.0,44.811677,6.736571
323,2186.9,6276.4,44.811679,6.73638
324,2181.4,6297.2,44.811593,6.736147
325,2173.6,6321.3,44.811503,6.735874
326,2170.6,6345.5,44.811515,6.73557
327,2171.7,6361.2,44.81159,6.735403
328,2175.8,6378.9,44.811742,6.735337
329,2175.3,6396.6,44.81187,6.735209
330,2174.3,6421.4,44.812055,6.735036
331,2177.3,6441.1,44.812224,6.734968
332,2180.8,6463.1,44.812413,6.734889
333,2183.9,6488.6,44.812626,6.734772
334,2186.7,6518.3,44.812865,6.734606
335,2188.3,6540.6,44.813053,6.734512
336,2193.1,6557.9,44.813206,6.734546
337,2202.3,6577.3,44.813333,6.734711
338,2214.0,6601.7,44.813451,6.734971
339,2226.3,6628.9,44.813559,6.73528
340,2235.9,6654.4,44.813645,6.735578
341,2243.9,6679.6,44.813719,6.735879
342,2248.0,6699.1,44.813804,6.736094
343,2248.2,6703.3,44.813833,6.736129
344,2248.2,6703.3,44.813834,6.736128
345,2248.2,6703.3,44.813834,6.736128
346,2248.2,6703.3,44.813834,6.736128
347,2247.6,6706.9,44.813893,6.736159
348,2245.8,6722.6,44.814027,6.736215
349,2241.7,6743.6,44.814216,6.736221
350,2238.8,6762.5,44.814385,6.736257
351,2238.9,6782.2,44.814553,6.736338
352,2239.9,6800.1,44.814712,6.736343
353,2241.2,6822.8,44.814916,6.736316
354,2243.7,6841.3,44.815082,6.736331
355,2247.1,6864.4,44.815289,6.736359
356,2250.6,6885.7,44.81548,6.736364
357,2253.7,6906.3,44.815654,6.736289
358,2253.0,6922.0,44.815713,6.736111
359,2249.0,6943.8,44.815693,6.73584
360,2242.1,6973.3,44.815637,6.735474
361,2236.7,6998.1,44.815596,6.735169
362,2239.2,7011.2,44.81568,6.73506
363,2247.8,7044.2,44.815937,6.734852
364,2252.6,7070.7,44.816121,6.734639
365,2257.4,7092.1,44.816298,6.734535
366,2261.3,7110.7,44.816462,6.734563
367,2267.0,7134.3,44.816667,6.734641
368,2269.7,7152.5,44.816824,6.734599
369,2270.9,7176.9,44.81699,6.734396
370,2272.9,7208.0,44.817183,6.734113
371,2275.5,7233.6,44.817349,6.733889
372,2280.3,7263.9,44.817562,6.73365
373,2285.0,7291.8,44.817757,6.733427
374,2288.4,7324.0,44.817961,6.733138
375,2292.8,7355.2,44.81813,6.732823
376,2296.5,7369.8,44.818242,6.732753
377,2296.6,7379.3,44.818295,6.73284
378,2295.3,7396.1,44.818254,6.733042
379,2293.9,7425.2,44.818121,6.733358
380,2291.8,7454.7,44.817968,6.733662
381,2290.0,7484.6,44.8178,6.733957
382,2288.6,7519.9,44.817616,6.73432
383,2290.5,7534.0,44.817613,6.734493
384,2293.4,7544.1,44.817694,6.734532
385,2295.5,7559.0,44.817801,6.734426
386,2296.6,7585.9,44.817944,6.734151
387,2298.9,7610.6,44.818113,6.733953
388,2302.6,7637.3,44.818327,6.733799
389,2306.4,7665.9,44.818539,6.733595
390,2309.6,7690.8,44.818716,6.733402
391,2312.3,7713.1,44.818855,6.733202
392,2316.5,7746.1,44.819062,6.732901
393,2323.7,7778.1,44.819251,6.732597
394,2327.5,7801.0,44.819348,6.732342
395,2329.5,7815.1,44.819405,6.732187
