secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,60,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
2,0,60.5714,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
3,0,61.1429,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
4,0,61.7143,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
5,0,62.2857,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
6,0,62.8571,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
7,0,63.4286,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
8,0,64,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
9,0,64,2e-05,0,0,0,1685.2,11.8457,46.5512,0,0,20,0,-255,0,0,0,0,0,0,0,0
10,0,64.5,2e-05,1.3662,0,0,1685.23,11.8457,46.5512,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
11,0,65,2e-05,2.7324,0,0,1685.27,11.8456,46.5512,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
12,0,65.5,2e-05,4.0986,0,0,1685.3,11.8456,46.5512,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
13,0,66,2e-05,5.4648,0,0,1685.33,11.8456,46.5512,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
14,0,66.5,2e-05,6.831,0,0,1685.37,11.8456,46.5512,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
15,0,67,2e-05,8.1972,0,0,1685.4,11.8456,46.5511,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
16,14,68,0.002405,8.802,0,0,1685.4,11.8456,46.5511,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
17,28,69,0.00479,9.4068,0,0,1685.4,11.8456,46.5511,0,3.27294e-14,20,0,-255,0,0,0,0,0,0,0,0
18,14,70.5,0.00744,9.6408,0,0,1685.3,11.8456,46.5511,0,-0.377358,20,0,-255,0,0,0,0,0,0,0,0
19,0,72,0.01009,9.8748,0,0,1685.2,11.8455,46.5511,0,-0.754717,20,0,-255,0,0,0,0,0,0,0,0
20,0,72.3333,0.01283,8.8116,0,0,1685.2,11.8455,46.5511,0,-0.754717,20,0,-255,0,0,0,0,0,0,0,0
21,0,72.6667,0.01557,7.7484,0,0,1685.2,11.8455,46.551,0,-0.754717,20,0,-255,0,0,0,0,0,0,0,0
22,0,73,0.01831,6.6852,0,0,1685.2,11.8455,46.551,0,-0.754717,20,0,-255,0,0,0,0,0,0,0,0
23,17.75,73,0.019035,5.0139,0,0,1685.2,11.8455,46.551,0,-0.754717,21,0,-255,0,0,0,0,0,0,0,0
24,35.5,73,0.01976,3.3426,0,0,1685.2,11.8455,46.551,0,-0.754717,21,0,-255,0,0,0,0,0,0,0,0
25,53.25,73,0.020485,1.6713,0,0,1685.2,11.8455,46.551,0,-0.754717,21,0,-255,0,0,0,0,0,0,0,0
26,71,73,0.02121,0,0,0,1685.2,11.8455,46.551,0,-0.754717,21,0,-255,0,0,0,0,0,0,0,0
27,64.25,73.25,0.02121,2.4858,0,0,1685.15,11.8455,46.551,0,-0.754717,21,0,-255,0,0,0,0,0,0,0,0
