secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
138,0,0,0.0127,4.1328,0,0,1765.6,6.96561,45.4603,0,-3.14961,15,0,-255,0,0,0,0,0,0,0,0
139,0,0,0.0140273,4.19989,0,0,1765.62,6.96562,45.4603,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
140,0,0,0.0153545,4.26698,0,0,1765.64,6.96562,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
141,0,0,0.0166818,4.33407,0,0,1765.65,6.96563,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
142,0,0,0.0180091,4.40116,0,0,1765.67,6.96563,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
143,0,0,0.0193364,4.46825,0,0,1765.69,6.96564,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
144,0,0,0.0206636,4.53535,0,0,1765.71,6.96564,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
145,0,0,0.0219909,4.60244,0,0,1765.73,6.96564,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
146,0,0,0.0233182,4.66953,0,0,1765.75,6.96565,45.4602,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
147,0,0,0.0246455,4.73662,0,0,1765.76,6.96565,45.4602,0,0.917916,15,0,-255,0,0,0,0,0,0,0,0
148,0,0,0.0259727,4.80371,0,0,1765.78,6.96566,45.4601,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
149,0,0,0.0273,4.8708,0,0,1765.8,6.96566,45.4601,0,1.36986,15,0,-255,0,0,0,0,0,0,0,0
150,0,0,0.02868,5.4432,0,0,1765.8,6.96565,45.4601,0,1.23288,15,0,-255,0,0,0,0,0,0,0,0
151,0,0,0.0298,5.3748,0,0,1765.8,6.96566,45.4601,0,1.09589,15,0,-255,0,0,0,0,0,0,0,0
152,0,0,0.03092,5.3064,0,0,1765.8,6.96567,45.4601,0,0.958904,15,0,-255,0,0,0,0,0,0,0,0
153,0,0,0.0323367,5.6088,0,0,1765.87,6.96566,45.4601,0,1.29251,15,0,-255,0,0,0,0,0,0,0,0
154,0,0,0.0337533,5.9112,0,0,1765.93,6.96565,45.4601,0,1.62611,15,0,-255,0,0,0,0,0,0,0,0
155,0,0,0.03517,6.2136,0,0,1766,6.96565,45.4601,0,1.95971,15,0,-255,0,0,0,0,0,0,0,0
156,0,0,0.03664,6.0348,0,0,1766,6.96563,45.46,0,1.82272,15,0,-255,0,0,0,0,0,0,0,0
157,0,0,0.03811,5.856,0,0,1766,6.96562,45.46,0,1.68574,15,0,-255,0,0,0,0,0,0,0,0
158,0,0,0.03958,5.6772,0,0,1766,6.96561,45.46,0,1.54875,15,0,-255,0,0,0,0,0,0,0,0
159,0,0,0.0410667,5.4528,0,0,1766,6.9656,45.46,0,1.41176,15,0,-255,0,0,0,0,0,0,0,0
160,0,0,0.0425533,5.2284,0,0,1766,6.96559,45.46,0,1.41176,15,0,-255,0,0,0,0,0,0,0,0
161,0,0,0.04404,5.004,0,0,1766,6.96557,45.46,0,1.41176,15,0,-255,0,0,0,0,0,0,0,0
162,0,0,0.0454267,5.094,0,0,1766,6.96556,45.46,0,1.41176,15,0,-255,0,0,0,0,0,0,0,0
163,0,0,0.0468133,5.184,0,0,1766,6.96555,45.46,0,0.941176,15,0,-255,0,0,0,0,0,0,0,0
164,0,0,0.0482,5.274,0,0,1766,6.96554,45.46,0,0.470588,15,0,-255,0,0,0,0,0,0,0,0
165,0,0,0.04975,5.5098,0,0,1766,6.96552,45.46,0,-1.31939e-13,15,0,-255,0,0,0,0,0,0,0,0
166,0,0,0.0513,5.7456,0,0,1766,6.96551,45.46,0,-1.31939e-13,15,0,-255,0,0,0,0,0,0,0,0
167,0,0,0.0527825,5.6952,0,0,1765.95,6.96549,45.4599,0,-0.337268,15,0,-255,0,0,0,0,0,0,0,0
168,0,0,0.054265,5.6448,0,0,1765.9,6.96548,45.4599,0,-0.674536,15,0,-255,0,0,0,0,0,0,0,0
169,0,0,0.0557475,5.5944,0,0,1765.85,6.96546,45.4599,0,-1.0118,15,0,-255,0,0,0,0,0,0,0,0
170,0,0,0.05723,5.544,0,0,1765.8,6.96545,45.4599,0,-1.34907,15,0,-255,0,0,0,0,0,0,0,0
171,0,0,0.0587533,5.6448,0,0,1765.93,6.96544,45.4599,0,-0.473799,15,0,-255,0,0,0,0,0,0,0,0
172,0,0,0.0602767,5.7456,0,0,1766.07,6.96542,45.4599,0,0.401475,15,0,-255,0,0,0,0,0,0,0,0
173,0,0,0.0618,5.8464,0,0,1766.2,6.96541,45.4599,0,1.27675,15,0,-255,0,0,0,0,0,0,0,0
208,0,0,0.11491,5.9472,0,0,1765.6,6.96489,45.4596,0,1.16377,14,0,-255,0,0,0,0,0,0,0,0
239,0,0,0.15695,2.8548,0,0,1767.2,6.96446,45.4594,0,1.54436,14,0,-255,0,0,0,0,0,0,0,0
240,0,0,0.157656,2.28384,0,0,1767.24,6.96446,45.4594,0,2.11094,14,0,-255,0,0,0,0,0,0,0,0
241,0,0,0.158362,1.71288,0,0,1767.28,6.96446,45.4593,0,3.01478,14,0,-255,0,0,0,0,0,0,0,0
242,0,0,0.159068,1.14192,0,0,1767.32,6.96445,45.4593,0,3.91862,14,0,-255,0,0,0,0,0,0,0,0
243,0,0,0.159774,0.57096,0,0,1767.36,6.96445,45.4593,0,4.82246,14,0,-255,0,0,0,0,0,0,0,0
244,0,0,0.16048,0,0,0,1767.4,6.96444,45.4593,0,5.7263,14,0,-255,0,0,0,0,0,0,0,0
945,0,0,0.16048,8.9352,0,0,1774.8,6.96403,45.459,0,4.85103,11,0,-255,0,0,0,0,0,0,0,0
946,0,0,0.164514,10.1714,0,0,1775,6.964,45.4589,0,4.47154,11,0,-255,0,0,0,0,0,0,0,0
947,0,0,0.168548,11.4077,0,0,1775.2,6.96397,45.4589,0,4.09205,11,0,-255,0,0,0,0,0,0,0,0
948,0,0,0.172582,12.6439,0,0,1775.4,6.96395,45.4589,0,4.70081,11,0,-255,0,0,0,0,0,0,0,0
949,0,0,0.176616,13.8802,0,0,1775.6,6.96392,45.4588,0,4.816,11,0,-255,0,0,0,0,0,0,0,0
950,0,0,0.18065,15.1164,0,0,1775.8,6.96389,45.4588,0,4.74522,11,0,-255,0,0,0,0,0,0,0,0
951,0,0,0.186143,16.3812,0,0,1776.33,6.96386,45.4588,0,5.14952,11,0,-255,0,0,0,0,0,0,0,0
952,0,0,0.191637,17.646,0,0,1776.87,6.96382,45.4587,0,5.55382,11,0,-255,0,0,0,0,0,0,0,0
953,0,0,0.19713,18.9108,0,0,1777.4,6.96379,45.4587,0,5.95812,11,0,-255,0,0,0,0,0,0,0,0
954,0,0,0.203225,19.566,0,0,1778,6.96375,45.4586,0,6.37596,11,0,-255,0,0,0,0,0,0,0,0
955,0,0,0.20932,20.2212,0,0,1778.6,6.96371,45.4586,0,7.36038,11,0,-255,0,0,0,0,0,0,0,0
956,0,0,0.21566,20.7414,0,0,1779.6,6.96367,45.4585,0,8.44188,11,0,-255,0,0,0,0,0,0,0,0
957,0,0,0.222,21.2616,0,0,1780.6,6.96363,45.4585,0,9.52338,11,0,-255,0,0,0,0,0,0,0,0
958,0,0,0.22889,22.4712,0,0,1781.5,6.96359,45.4584,0,10.3338,11,0,-255,0,0,0,0,0,0,0,0
959,0,0,0.23578,23.6808,0,0,1782.4,6.96354,45.4584,0,11.1443,11,0,-255,0,0,0,0,0,0,0,0
960,0,0,0.24367,25.344,0,0,1783.3,6.96349,45.4583,0,11.7892,11,0,-255,0,0,0,0,0,0,0,0
961,0,0,0.25156,27.0072,0,0,1784.2,6.96345,45.4583,0,11.959,11,0,-255,0,0,0,0,0,0,0,0
962,0,0,0.25987,27.9468,0,0,1786.6,6.96339,45.4582,0,12.1288,11,0,-255,0,0,0,0,0,0,0,0
963,0,0,0.26849,28.8864,0,0,1787.8,6.96334,45.4581,0,12.55,11,0,-255,0,0,0,0,0,0,0,0
964,0,0,0.27712,29.1888,0,0,1789,6.96329,45.4581,0,12.9561,11,0,-255,0,0,0,0,0,0,0,0
965,0,0,0.28623,30.366,0,0,1790.4,6.96323,45.458,0,13.5085,11,0,-255,0,0,0,0,0,0,0,0
966,0,0,0.29515,30.9024,0,0,1791.8,6.96317,45.4579,0,13.5007,11,0,-255,0,0,0,0,0,0,0,0
967,0,0,0.30411,30.096,0,0,1793.4,6.96311,45.4579,0,13.7091,11,0,-255,0,0,0,0,0,0,0,0
968,0,0,0.31366,32.2452,0,0,1795,6.96304,45.4578,0,14.0783,11,0,-255,0,0,0,0,0,0,0,0
969,0,0,0.32359,33.7572,0,0,1796.6,6.96298,45.4577,0,14.3833,11,0,-255,0,0,0,0,0,0,0,0
970,0,0,0.33416,35.4384,0,0,1798.4,6.9629,45.4576,0,14.9456,11,0,-255,0,0,0,0,0,0,0,0
971,0,0,0.34504,36.882,0,0,1800.4,6.96283,45.4575,0,15.6431,11,0,-255,0,0,0,0,0,0,0,0
972,0,0,0.35577,37.2852,0,0,1802.4,6.96276,45.4575,0,16.3664,11,0,-255,0,0,0,0,0,0,0,0
973,0,0,0.36673,38.4948,0,0,1804.2,6.96269,45.4574,0,16.6166,11,0,-255,0,0,0,0,0,0,0,0
974,0,0,0.37797,39.0312,0,0,1806.4,6.96261,45.4573,0,17.1834,11,0,-255,0,0,0,0,0,0,0,0
975,0,0,0.38973,40.0752,0,0,1808.6,6.96253,45.4572,0,17.5174,11,0,-255,0,0,0,0,0,0,0,0
976,0,0,0.40156,40.6764,0,0,1810.8,6.96245,45.4571,0,17.8075,11,0,-255,0,0,0,0,0,0,0,0
977,0,0,0.413,40.2084,0,0,1813.2,6.96237,45.457,0,17.8815,11,0,-255,0,0,0,0,0,0,0,0
978,0,0,0.42433,39.8376,0,0,1815.8,6.96228,45.4569,0,18.0658,11,0,-255,0,0,0,0,0,0,0,0
979,0,0,0.43597,39.9744,0,0,1818.2,6.9622,45.4569,0,18.3142,11,0,-255,0,0,0,0,0,0,0,0
980,0,0,0.4473,39.5352,0,0,1820.8,6.96212,45.4568,0,18.4709,11,0,-255,0,0,0,0,0,0,0,0
981,0,0,0.45869,40.0392,0,0,1823.6,6.96204,45.4567,0,18.4924,11,0,-255,0,0,0,0,0,0,0,0
982,0,0,0.46982,39.7368,0,0,1826.6,6.96195,45.4566,0,18.4881,11,0,-255,0,0,0,0,0,0,0,0
983,0,0,0.48094,39.672,0,0,1829.8,6.96187,45.4565,0,18.7055,11,0,-255,0,0,0,0,0,0,0,0
984,0,0,0.49222,39.672,0,0,1832.8,6.96179,45.4564,0,18.6079,11,0,-255,0,0,0,0,0,0,0,0
985,0,0,0.50355,40.176,0,0,1836,6.96171,45.4563,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
986,0,0,0.51472,39.7368,0,0,1839.2,6.96163,45.4563,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
987,0,0,0.52579,39.7728,0,0,1842.2,6.96156,45.4562,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
988,0,0,0.53671,39.3696,0,0,1845.2,6.96148,45.4561,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
989,0,0,0.54798,40.2084,0,0,1848.6,6.9614,45.456,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
990,0,0,0.55931,40.6764,0,0,1851.8,6.96132,45.4559,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
991,0,0,0.57076,40.7448,0,0,1854.8,6.96124,45.4558,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
992,0,0,0.58225,41.148,0,0,1858.2,6.96116,45.4558,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
993,0,0,0.5937,41.0472,0,0,1861.4,6.96108,45.4557,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
994,0,0,0.60533,41.0472,0,0,1864.8,6.961,45.4556,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
995,0,0,0.61693,41.0148,0,0,1868.2,6.96091,45.4555,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
996,0,0,0.62837,40.878,0,0,1871.6,6.96083,45.4554,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
997,0,0,0.63949,40.3092,0,0,1878.6,6.96074,45.4553,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
998,0,0,0.6505,40.14,0,0,1882.2,6.96066,45.4553,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
999,0,0,0.66172,40.176,0,0,1885.8,6.96057,45.4552,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
1000,0,0,0.67288,40.176,0,0,1889.4,6.96049,45.4551,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
1001,0,0,0.68405,40.2084,0,0,1893,6.96041,45.455,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
1002,0,0,0.69521,40.2084,0,0,1896.6,6.96032,45.4549,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
1003,0,0,0.70637,40.2084,0,0,1900,6.96024,45.4548,0,18.5968,11,0,-255,0,0,0,0,0,0,0,0
1004,0,0,0.71754,40.2084,0,0,1902.2,6.96015,45.4548,0,18.7067,11,0,-255,0,0,0,0,0,0,0,0
1005,0,0,0.72864,40.2084,0,0,1903.8,6.96007,45.4547,0,18.2884,11,0,-255,0,0,0,0,0,0,0,0
1006,0,0,0.73971,40.176,0,0,1907.6,6.95999,45.4546,0,17.8702,11,0,-255,0,0,0,0,0,0,0,0
1007,0,0,0.75072,40.14,0,0,1911.4,6.9599,45.4545,0,17.452,11,0,-255,0,0,0,0,0,0,0,0
1008,0,0,0.75072,0,0,0,1914.8,0,0,0,15.5923,11,0,-255,0,0,0,0,0,0,0,0
1009,0,0,0.75072,0,0,0,1918.4,0,0,0,13.7326,11,0,-255,0,0,0,0,0,0,0,0
1010,0,0,0.75072,0,0,0,1922.2,0,0,0,11.8729,11,0,-255,0,0,0,0,0,0,0,0
1011,0,0,0.75072,0,0,0,1925.6,0,0,0,10.0132,11,0,-255,0,0,0,0,0,0,0,0
1012,0,0,0.75072,0,0,0,1930,0,0,0,8.15356,11,0,-255,0,0,0,0,0,0,0,0
1013,0,0,0.75072,0,0,0,1933.4,0,0,0,6.29389,11,0,-255,0,0,0,0,0,0,0,0
1014,0,0,0.75072,0,0,0,1936.6,0,0,0,4.32432,11,0,-255,0,0,0,0,0,0,0,0
1015,0,0,0.75072,0,0,0,1941.2,0,0,0,2.88288,11,0,-255,0,0,0,0,0,0,0,0
1016,0,0,0.75072,0,0,0,1946.6,0,0,0,1.44144,11,0,-255,0,0,0,0,0,0,0,0
1017,0,0,0.75072,0,0,0,1951.8,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1018,0,0,0.75072,0,0,0,1956.8,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1019,0,0,0.75072,0,0,0,1961.6,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1020,0,0,0.75072,40.14,0,0,1966,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1021,0,0,0.75072,0,0,0,1970.8,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1022,0,0,0.75072,0,0,0,1973.4,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1023,0,0,0.75072,0,0,0,1975.4,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
1024,0,0,0.75072,0,0,0,1979.8,0,0,0,-1.246e-13,11,0,-255,0,0,0,0,0,0,0,0
