secs, cad, hr, km, kph, nm, watts,altitude, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,4,86,0.00578,20.7936,0,0,-3.8,-0.257324,51.4537,0,-0.346021,11,0,0,0,94,0,72,0,0,0,0
2,0,86,0.0121,22.7412,0,0,-3.8,-0.257387,51.4537,0,-0.346021,11,0,-255,0,0,0,0,0,0,0,0
3,0,88,0.01885,24.318,0,0,-4,-0.257466,51.4537,0,-0.642317,11,0,-255,0,0,0,0,0,0,0,0
4,22,88,0.02591,25.3944,0,26,-4.2,-0.257552,51.4536,0,-0.925603,11,0,77,58.5,60.5,17,20,0,0,0,0
5,78,90,0.03307,25.7976,0,212,-4,-0.257642,51.4536,0,-0.646274,11,0,49,58.5,73.5,17,24.5,0,0,0,0
6,81,92,0.04038,26.3016,0,177,-4.2,-0.257736,51.4536,0,-0.919871,11,0,50,70.5,74,22,26,0,0,0,0
7,82,92,0.04782,26.8056,0,154,-4.2,-0.25783,51.4536,0,-0.919871,11,0,46,62,67.5,19.5,21.5,0,0,0,0
8,86,94,0.05535,27.108,0,162,-4.4,-0.257926,51.4535,0,-1.18548,11,0,47,59,68.5,17,24.5,0,0,0,0
9,84,95,0.06299,27.4788,0,142,-4.4,-0.258024,51.4535,0,-1.18548,11,0,47,62,63,19,22,0,0,0,0
10,84,96,0.07065,27.576,0,130,-4.4,-0.258123,51.4535,0,-1.18548,11,0,49,56,62,17,20.5,0,0,0,0
11,84,97,0.07839,27.8784,0,151,-5.2,-0.258219,51.4534,0,-1.87305,11,0,49,56.5,62.5,17.5,20.5,0,0,0,0
12,86,98,0.08613,27.8784,0,151,-6.2,-0.258317,51.4534,0,-3.16504,11,0,50,56.5,62.5,17.5,20.5,0,0,0,0
13,90,99,0.09392,28.0152,0,179,-6.6,-0.25842,51.4534,0,-3.38222,11,0,49,60,69,18.5,23.5,0,0,0,0
14,86,100,0.10163,27.7776,0,160,-7,-0.25852,51.4533,0,-3.61774,11,0,55,65,58,19,18,0,0,0,0
15,86,100,0.10925,27.4104,0,148,-7.2,-0.258619,51.4533,0,-4.15954,11,0,49,65,58,19,18,0,0,0,0
16,85,101,0.11675,27.0072,0,154,-7.4,-0.258719,51.4533,0,-4.15261,11,0,49,61.5,64.5,19.5,21,0,0,0,0
17,85,101,0.12412,26.5356,0,171,-7.4,-0.258817,51.4532,0,-4.15261,11,0,47,61.5,71,19.5,23.5,0,0,0,0
18,82,102,0.13142,26.2692,0,205,-7.6,-0.258914,51.4532,0,-4.16097,11,0,50,66.5,71.5,19.5,23.5,0,0,0,0
19,81,102,0.13866,26.0676,0,211,-7.6,-0.259008,51.4532,0,-4.16097,11,0,50,67,66.5,21,21,0,0,0,0
20,80,102,0.1457,25.362,0,165,-7.8,-0.259102,51.4531,0,-4.44506,11,0,54,67,64,21,20.5,0,0,0,0
21,80,102,0.15279,25.5276,0,202,-7.8,-0.259197,51.4531,0,-3.41147,11,0,52,68.5,71,21,23,0,0,0,0
22,82,102,0.16008,26.2332,0,197,-8,-0.259292,51.4531,0,-2.39383,11,0,53,72.5,69,22.5,24.5,0,0,0,0
23,80,102,0.1676,27.0756,0,158,-8,-0.25939,51.453,0,-1.88035,11,0,52,60.5,57.5,19,16.5,0,0,0,0
24,83,103,0.17518,27.2772,0,137,-8,-0.25949,51.453,0,-1.36155,11,0,57,51.5,65.5,15,21,0,0,0,0
25,85,103,0.18281,27.4788,0,152,-8,-0.259593,51.453,0,-1.09908,11,0,48,51.5,64,15,20,0,0,0,0
26,85,103,0.19036,27.1764,0,155,-8,-0.259696,51.453,0,-0.832412,11,0,48,51.5,64,15,20,0,0,0,0
27,84,103,0.1978,26.8056,0,154,-8,-0.259799,51.453,0,-0.832412,11,0,52,60,62,18,20.5,0,0,0,0
28,84,103,0.20517,26.5032,0,149,-8.2,-0.259902,51.4529,0,-0.82981,11,0,49,58.5,67,18.5,22,0,0,0,0
29,83,103,0.21241,26.0676,0,149,-8.2,-0.260004,51.4529,0,-0.82981,11,0,50,62.5,66.5,19.5,21.5,0,0,0,0
30,81,104,0.21965,26.0676,0,172,-8.2,-0.260105,51.4529,0,-0.545719,11,0,48,62.5,71,19.5,25,0,0,0,0
31,80,103,0.22681,25.7976,0,193,-8.2,-0.260204,51.4529,0,-0.545719,11,0,50,69.5,70,22.5,22.5,0,0,0,0
32,81,103,0.23393,25.6284,0,174,-8.2,-0.260304,51.4528,0,-0.27137,11,0,54,69.5,70,22.5,22.5,0,0,0,0
33,79,103,0.24105,25.6284,0,176,-8,-0.260405,51.4528,0,0.00952846,11,0,51,68.5,68,21,22.5,0,0,0,0
34,80,103,0.2481,25.362,0,178,-8,-0.260503,51.4528,0,0.00952846,11,0,51,68.5,69.5,21.5,23.5,0,0,0,0
35,79,102,0.25514,25.362,0,169,-8,-0.260601,51.4528,0,0.00952846,11,0,50,66.5,68,20.5,23,0,0,0,0
36,79,102,0.26221,25.4268,0,168,-8,-0.260699,51.4528,0,0.00952846,11,0,50,62.5,67.5,19,22,0,0,0,0
37,79,101,0.26927,25.4268,0,163,-8,-0.260797,51.4527,0,0.00952846,11,0,49,62.5,67.5,19,22,0,0,0,0
38,79,101,0.27642,25.7292,0,194,-8,-0.260895,51.4527,0,0.280899,11,0,50,69,74.5,21,24.5,0,0,0,0
39,79,101,0.28352,25.5636,0,226,-7.8,-0.260993,51.4527,0,0.562589,11,0,50,75.5,76,23.5,25,0,0,0,0
40,79,101,0.29062,25.5636,0,240,-7.8,-0.261092,51.4527,0,0.562589,11,0,51,75.5,76,23.5,25,0,0,0,0
41,79,101,0.29775,25.6644,0,245,-7.8,-0.261191,51.4527,0,0.562589,11,0,49,75.5,76.5,23,25,0,0,0,0
42,79,101,0.30489,25.7292,0,235,-7.8,-0.261289,51.4526,0,0.562589,11,0,53,77,74.5,24.5,24.5,0,0,0,0
43,79,102,0.31198,25.4952,0,225,-8,-0.261388,51.4526,0,-0.000397306,11,0,51,73.5,75,23,25,0,0,0,0
44,80,102,0.31906,25.4952,0,225,-8,-0.261486,51.4526,0,-0.000397306,11,0,50,72.5,75,22,24.5,0,0,0,0
45,78,102,0.32611,25.3944,0,206,-8,-0.261585,51.4526,0,-0.000397306,11,0,51,73,73.5,23,24,0,0,0,0
46,78,103,0.33307,25.0596,0,214,-7.8,-0.261684,51.4526,0,0.286959,11,0,54,73.5,73,23.5,25,0,0,0,0
47,78,103,0.34008,25.2252,0,214,-7.8,-0.261782,51.4525,0,0.286959,11,0,51,74,72,24,24,0,0,0,0
48,78,103,0.34704,25.0596,0,210,-7.8,-0.26188,51.4525,0,0.286959,11,0,52,71.5,72.5,21.5,23,0,0,0,0
49,77,104,0.354,25.0596,0,211,-7.6,-0.261977,51.4525,0,0.292625,11,0,55,73,72.5,23,24,0,0,0,0
50,78,104,0.36096,25.0596,0,211,-7.6,-0.262074,51.4525,0,0.292625,11,0,49,73,75.5,23,26,0,0,0,0
51,77,104,0.36792,25.0596,0,199,-7.6,-0.262171,51.4525,0,0.292625,11,0,50,71.5,68,22.5,22.5,0,0,0,0
52,78,104,0.37496,25.326,0,229,-7.4,-0.262267,51.4525,0,0.576716,11,0,50,74,76,22.5,25.5,0,0,0,0
53,78,104,0.38201,25.3944,0,228,-7.4,-0.262365,51.4524,0,0.858804,11,0,52,75.5,73.5,24,23.5,0,0,0,0
54,78,105,0.3891,25.5276,0,228,-7.4,-0.262462,51.4524,0,0.858804,11,0,52,76,74.5,24,25,0,0,0,0
55,79,105,0.39626,25.7652,0,228,-7.2,-0.262561,51.4524,0,1.13813,11,0,52,76,74.5,24,25,0,0,0,0
56,79,105,0.40347,25.9668,0,234,-7.2,-0.26266,51.4524,0,0.850777,11,0,52,75.5,74.5,23.5,23.5,0,0,0,0
57,80,106,0.41063,25.7652,0,234,-7,-0.26276,51.4524,0,1.13011,11,0,51,75.5,74.5,23.5,23.5,0,0,0,0
58,79,106,0.41774,25.596,0,229,-7,-0.262859,51.4523,0,1.13011,11,0,50,71.5,74,22,23.5,0,0,0,0
59,79,107,0.42485,25.596,0,236,-6.8,-0.262958,51.4523,0,1.12404,11,0,50,74.5,73.5,22.5,22.5,0,0,0,0
60,76,108,0.43182,25.092,0,212,-6.6,-0.263057,51.4523,0,1.41099,11,0,54,74.5,73.5,22.5,22.5,0,0,0,0
